,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,2,2.0,0.0,4.0,4.0,Wil Lutz,Vikings,13.0,K,1,1.0,1.0,2017.0,17,17.0,0.0,0.0,0.0,Saints,284.0,19.0,5.0,DST,60.0,1.0,0.0,Vikings,344.0,0.0
1,45,2.0,0.0,4.0,4.0,Wil Lutz,Saints,13.0,K,2,1.0,1.0,2017.0,60,28.0,0.0,0.0,0.0,Patriots,341.0,29.0,1.0,DST,129.0,1.0,0.0,Saints,470.0,0.0
2,69,23.5,0.0,3.5,3.0,Wil Lutz,Panthers,10.5,K,3,1.5,1.5,2017.0,90,21.5,0.0,0.5,0.5,Saints,136.5,3.0,15.5,DST,60.0,3.5,0.0,Panthers,196.5,0.0
3,110,38.66666666666666,0.3333333333333333,3.333333333333333,2.6666666666666665,Wil Lutz,Dolphins,11.0,K,4,2.333333333333333,2.333333333333333,2017.0,114,63.5,0.0,0.5,0.0,Saints,278.0,18.5,6.5,DST,73.5,1.5,0.0,Dolphins,351.5,0.0
4,166,56.5,0.25,3.25,2.5,Wil Lutz,Saints,10.25,K,6,2.25,2.25,2017.0,154,62.25,0.0,0.0,1.0,Lions,265.25,19.5,9.0,DST,109.5,2.75,0.0,Saints,374.75,0.0
5,200,78.4,0.2,2.8,2.2,Wil Lutz,Packers,10.2,K,7,3.2,3.2,2017.0,195,92.16666666666669,0.0,1.1666666666666667,0.6666666666666666,Saints,206.33333333333331,22.5,8.666666666666666,DST,119.83333333333331,1.8333333333333333,0.0,Packers,326.1666666666667,0.16666666666666666
6,227,98.66666666666669,0.16666666666666666,2.6666666666666665,2.1666666666666665,Wil Lutz,Saints,9.833333333333334,K,8,3.1666666666666665,3.0,2017.0,222,100.0,0.0,0.3333333333333333,1.3333333333333333,Bears,236.83333333333331,22.16666666666667,12.666666666666664,DST,114.16666666666669,2.833333333333333,0.0,Saints,351.0,0.5
7,256,117.0,0.14285714285714285,2.571428571428572,2.142857142857143,Wil Lutz,Saints,9.571428571428571,K,9,3.0,2.8571428571428568,2017.0,238,117.42857142857143,0.0,0.2857142857142857,1.2857142857142858,Buccaneers,224.42857142857144,20.714285714285715,12.428571428571427,DST,120.28571428571428,2.7142857142857144,0.0,Saints,344.71428571428567,0.42857142857142855
8,271,134.375,0.125,2.5,2.0,Wil Lutz,Bills,9.125,K,10,3.125,2.875,2017.0,289,127.25,0.0,0.75,1.375,Saints,250.25,18.625,11.375,DST,94.375,1.75,0.0,Bills,344.625,0.25
9,301,149.55555555555554,0.2222222222222222,2.4444444444444446,2.0,Wil Lutz,Saints,9.555555555555557,K,11,3.4444444444444446,3.111111111111111,2017.0,314,148.0,0.1111111111111111,0.3333333333333333,1.1111111111111112,Redskins,201.44444444444446,18.33333333333333,13.222222222222221,DST,110.88888888888887,2.7777777777777777,0.0,Saints,312.3333333333333,0.4444444444444444
10,332,164.7,0.3,2.6,2.2,Wil Lutz,Rams,10.2,K,12,3.3,3.0,2017.0,339,154.3,0.2,0.7,1.2,Saints,211.7,18.6,13.4,DST,123.3,2.8,0.1,Rams,335.0,0.4
11,373,179.9090909090909,0.3636363636363637,2.5454545454545454,2.1818181818181817,Wil Lutz,Saints,10.181818181818182,K,13,3.1818181818181817,2.9090909090909087,2017.0,372,180.54545454545453,0.09090909090909093,0.2727272727272727,1.0,Panthers,221.8181818181818,20.181818181818183,11.636363636363635,DST,112.9090909090909,2.8181818181818183,0.0,Saints,334.72727272727275,0.3636363636363637
