,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,2,2,0,4,4,Wil Lutz,Vikings,13.0,K,1,1,1,2017,17,17,0,0,0,Saints,284,19,5.0,DST,60,1.0,0,Vikings,344,0
1,45,45,0,3,2,Wil Lutz,Saints,8.0,K,2,2,2,2017,60,60,0,0,0,Patriots,436,36,2.0,DST,119,2.0,0,Saints,555,0
2,69,69,1,3,2,Wil Lutz,Panthers,12.0,K,3,4,4,2017,90,90,0,0,0,Saints,213,34,1.0,DST,149,1.0,0,Panthers,362,0
3,110,110,0,3,2,Wil Lutz,Dolphins,8.0,K,4,2,2,2017,114,114,0,0,0,Saints,261,20,5.0,DST,86,1.0,0,Dolphins,347,0
4,166,166,0,1,1,Wil Lutz,Saints,10.0,K,6,7,7,2017,154,154,0,2,3,Lions,281,38,33.0,DST,66,5.0,0,Saints,347,3
5,200,200,0,2,2,Wil Lutz,Packers,8.0,K,7,3,2,2017,195,195,1,0,2,Saints,324,26,8.0,DST,161,1.0,0,Packers,485,0
6,227,227,0,2,2,Wil Lutz,Saints,8.0,K,8,2,2,2017,222,222,0,0,1,Bears,150,12,11.0,DST,157,2.0,0,Saints,307,0
7,256,256,0,2,1,Wil Lutz,Saints,6.0,K,9,4,3,2017,238,238,1,1,0,Buccaneers,113,10,21.0,DST,87,4.0,0,Saints,200,1
8,271,271,1,2,2,Wil Lutz,Bills,13.0,K,10,6,5,2017,289,289,0,1,0,Saints,184,47,2.0,DST,298,0.0,0,Bills,482,0
9,301,301,1,4,4,Wil Lutz,Saints,16.0,K,11,2,2,2017,314,314,0,0,0,Redskins,300,31,2.0,DST,156,2.0,0,Saints,456,0
10,332,332,1,2,2,Wil Lutz,Rams,10.0,K,12,2,2,2017,339,339,0,0,0,Saints,223,20,7.0,DST,123,3.0,0,Rams,346,0
11,373,373,0,2,1,Wil Lutz,Saints,7.0,K,13,4,4,2017,372,372,0,1,0,Panthers,167,21,5.0,DST,112,2.0,0,Saints,279,0
