,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
14,14,14,0,0,0,Bears,176,17,8.0,DST,125,4.0,0,Falcons,301,0,1,2017
34,34,34,0,1,1,Packers,308,23,14.0,DST,59,3.0,0,Falcons,367,1,2,2017
87,87,87,0,0,0,Lions,253,26,3.0,DST,71,2.0,0,Falcons,324,0,3,2017
116,116,116,0,0,0,Bills,164,23,4.0,DST,117,3.0,0,Falcons,281,0,4,2017
173,173,173,0,0,1,Dolphins,151,20,6.0,DST,138,0.0,0,Falcons,289,0,6,2017
205,205,205,0,0,0,Patriots,241,23,3.0,DST,162,2.0,0,Falcons,403,0,7,2017
225,225,225,0,1,0,Jets,236,20,9.0,DST,43,3.0,0,Falcons,279,0,8,2017
248,248,248,0,2,0,Panthers,129,20,9.0,DST,201,1.0,0,Falcons,330,0,9,2017
264,264,264,0,2,0,Cowboys,126,7,19.0,DST,107,8.0,0,Falcons,233,0,10,2017
299,299,299,0,1,1,Steelers,224,31,13.0,DST,136,3.0,0,Falcons,360,1,11,2017
343,343,343,0,0,0,Buccaneers,279,20,5.0,DST,94,1.0,0,Falcons,373,0,12,2017
366,366,366,0,0,0,Vikings,207,14,6.0,DST,105,2.0,0,Falcons,312,0,13,2017
