,Unnamed: 0,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year,Away Games
0,0,0,0,Julius Thomas,Colts,0,0,0,0,0,0,28.0,TE,0,3,104,7,0,0,0,0,1,2014,0
1,1,0,0,Vernon Davis,Cowboys,0,0,0,0,0,0,16.0,TE,0,2,44,4,0,0,0,0,1,2014,1
2,2,0,0,Greg Olsen,Buccaneers,0,0,0,0,0,0,14.0,TE,0,1,83,8,0,0,0,0,1,2014,1
3,3,0,0,Zach Ertz,Jaguars,0,0,0,0,0,0,13.0,TE,0,1,77,3,0,0,0,0,1,2014,0
4,4,0,0,Martellus Bennett,Bills,0,0,0,0,0,0,13.0,TE,0,1,70,8,0,0,0,0,1,2014,0
5,5,0,0,Dwayne Allen,Broncos,0,0,0,0,0,0,12.0,TE,0,1,64,4,0,0,0,0,1,2014,1
6,6,0,0,Larry Donnell,Lions,0,0,0,0,0,0,11.0,TE,0,1,56,5,0,0,0,0,1,2014,1
7,7,0,0,Rob Gronkowski,Dolphins,0,0,0,0,0,0,10.0,TE,0,1,40,4,0,0,0,0,1,2014,1
8,8,0,0,Delanie Walker,Chiefs,0,0,0,0,0,0,9.0,TE,0,1,37,3,0,0,0,0,1,2014,1
9,9,0,0,Dennis Pitta,Bengals,0,0,0,0,0,0,8.0,TE,0,0,83,10,0,0,0,0,1,2014,0
10,10,0,0,Jimmy Graham,Falcons,0,0,0,0,0,0,8.0,TE,0,0,82,8,0,0,0,0,1,2014,1
11,11,0,0,Antonio Gates,Cardinals,0,0,0,0,0,0,8.0,TE,0,0,81,6,0,0,0,0,1,2014,1
12,12,0,0,Anthony Fasano,Titans,0,0,0,0,0,0,8.0,TE,0,1,29,3,0,0,0,0,1,2014,0
13,13,0,0,Levine Toilolo,Saints,0,0,0,0,0,0,7.0,TE,0,1,19,3,0,0,0,0,1,2014,0
14,14,0,0,Kyle Rudolph,Rams,0,0,0,0,0,0,7.0,TE,0,1,16,2,0,0,0,0,1,2014,1
15,15,0,0,Jared Cook,Min,0,0,0,0,0,0,5.0,TE,0,0,56,4,0,0,0,0,1,2014,0
16,16,0,0,Brandon Myers,Panthers,0,0,0,0,0,0,4.0,TE,0,0,41,6,0,0,0,0,1,2014,0
17,17,0,0,Zach Miller,Packers,0,0,0,0,0,0,4.0,TE,0,0,42,3,0,0,0,0,1,2014,0
18,18,0,0,Travis Kelce,Titans,0,0,0,0,0,0,4.0,TE,0,0,49,3,0,0,0,0,1,2014,0
19,19,0,0,Joseph Fauria,Giants,0,0,0,0,0,0,4.0,TE,1,0,26,1,0,0,0,0,1,2014,0
20,20,0,0,Jordan Cameron,Steelers,0,0,0,0,0,0,4.0,TE,0,0,47,2,0,0,0,0,1,2014,1
21,21,0,0,Mychal Rivera,Jets,0,0,0,0,0,0,3.0,TE,0,0,31,3,0,0,0,0,1,2014,1
22,22,0,0,Marcedes Lewis,Eagles,0,0,0,0,0,0,3.0,TE,0,0,35,6,0,0,0,0,1,2014,1
23,23,0,0,Tyler Eifert,Ravens,0,0,0,0,0,0,3.0,TE,0,0,37,3,0,0,0,0,1,2014,1
24,24,0,0,Jim Dray,Steelers,0,0,0,0,0,0,3.0,TE,0,0,30,2,0,0,0,0,1,2014,1
25,25,0,0,Owen Daniels,Bengals,0,0,0,0,0,0,3.0,TE,0,0,34,4,0,0,0,0,1,2014,0
26,26,0,0,Austin Seferian-Jenkins,Panthers,0,0,0,0,0,0,2.0,TE,0,0,26,1,0,0,0,0,1,2014,0
27,27,0,0,Andrew Quarless,Seahawks,0,0,0,0,0,0,2.0,TE,0,0,26,3,0,0,0,0,1,2014,1
28,28,0,0,Heath Miller,Browns,0,0,0,0,0,0,2.0,TE,0,0,26,3,0,0,0,0,1,2014,0
29,29,0,0,Ladarius Green,Cardinals,0,0,0,0,0,0,2.0,TE,0,0,24,2,0,0,0,0,1,2014,1
30,30,0,0,Coby Fleener,Broncos,0,0,0,0,0,0,2.0,TE,0,0,21,3,0,0,0,0,1,2014,1
31,31,0,0,Rhett Ellison,Rams,0,0,0,0,0,0,2.0,TE,0,0,22,1,0,0,0,0,1,2014,1
32,32,0,0,Charles Clay,Patriots,0,0,0,0,0,0,2.0,TE,0,0,27,2,0,0,0,0,1,2014,0
33,33,0,0,John Carlson,Chargers,0,0,0,0,0,0,2.0,TE,0,0,20,1,0,0,0,0,1,2014,0
