,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
24,24,24,0,0,Seth Roberts,Titans,0,0,0,0,0,0,7.0,WR,0,1,19,1,0,0,0,0,1,2017
306,306,306,0,1,Seth Roberts,Redskins,0,0,0,0,0,0,1.0,WR,0,0,20,4,0,0,0,0,3,2017
392,392,392,0,0,Seth Roberts,Broncos,0,0,0,0,0,0,4.0,WR,0,0,49,4,0,0,0,0,4,2017
504,504,504,0,0,Seth Roberts,Raiders,0,0,0,0,0,0,3.0,WR,0,0,34,2,0,0,0,0,5,2017
609,609,609,0,0,Seth Roberts,Raiders,0,0,0,0,0,0,3.0,WR,0,0,35,3,0,0,0,0,6,2017
744,744,744,0,0,Seth Roberts,Raiders,0,0,0,0,0,0,1.0,WR,0,0,15,1,0,0,0,0,7,2017
922,922,922,0,0,Seth Roberts,Dolphins,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,0,0,0,9,2017
1131,1131,1131,0,1,Seth Roberts,Raiders,0,0,0,0,0,0,2.0,WR,0,0,36,5,0,0,0,0,11,2017
1245,1245,1245,0,0,Seth Roberts,Raiders,0,0,0,0,0,0,2.0,WR,0,0,26,2,0,0,0,0,12,2017
1332,1332,1332,0,0,Seth Roberts,Raiders,0,0,0,0,0,0,4.0,WR,0,0,46,5,0,0,0,0,13,2017
