Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
2011,1,Steve Smith,0,0,Cardinals,0,0,0,0,0,0,29.0,WR,0,2,178,8,0,0,0,0,1
2011,1,Wes Welker,0,0,Dolphins,0,0,0,0,0,0,28.0,WR,0,2,160,8,0,0,0,0,1
2011,1,Kenny Britt,0,0,Jaguars,0,0,0,0,0,0,25.0,WR,0,2,136,5,0,0,0,0,1
2011,1,Calvin Johnson,0,0,Buccaneers,0,0,0,0,0,0,20.0,WR,0,2,88,6,0,0,0,0,1
2011,1,Reggie Wayne,0,0,Texans,0,0,0,0,0,0,16.0,WR,0,1,106,7,0,0,0,0,1
2011,1,DeSean Jackson,0,0,Rams,0,0,0,0,0,0,16.0,WR,0,1,102,6,0,0,0,0,1
2011,1,Devery Henderson,0,0,Packers,0,0,0,0,0,0,16.0,WR,0,1,100,6,0,0,0,0,1
2011,1,Early Doucet,0,0,Panthers,0,0,0,0,0,0,16.0,WR,0,1,105,3,0,0,0,0,0
2011,1,Andre Johnson,0,0,Colts,0,0,0,0,0,0,15.0,WR,0,1,95,7,0,0,0,0,0
2011,1,Miles Austin,0,0,Jets,0,0,0,0,0,0,15.0,WR,0,1,90,5,0,0,0,0,1
2011,1,Greg Jennings,0,0,Saints,0,0,0,0,0,0,14.0,WR,0,1,89,7,0,0,0,0,0
2011,1,Doug Baldwin,0,0,49ers,0,0,0,0,0,0,14.0,WR,0,1,83,4,0,0,0,0,1
2011,1,Jordy Nelson,0,0,Saints,0,0,0,0,0,0,13.0,WR,0,1,77,6,0,0,0,0,0
2011,1,Robert Meachem,0,0,Packers,0,0,0,0,0,0,13.0,WR,0,1,70,5,0,0,0,0,1
2011,1,Brandon Marshall,0,0,Patriots,0,0,0,0,0,0,13.0,WR,0,0,139,7,0,0,0,0,0
2011,1,Plaxico Burress,0,0,Cowboys,0,0,0,0,0,0,13.0,WR,0,1,72,4,0,0,0,0,0
2011,1,Dez Bryant,0,0,Jets,0,0,0,0,0,0,13.0,WR,0,1,71,3,0,0,0,0,1
2011,1,Anquan Boldin,0,0,Steelers,0,0,0,0,0,0,13.0,WR,0,1,74,4,0,0,0,0,0
2011,1,Hakeem Nicks,0,0,Redskins,0,0,0,0,0,0,12.0,WR,0,0,122,7,0,0,0,0,1
2011,1,Stevie Johnson,0,0,Chiefs,0,0,0,0,0,0,12.0,WR,0,1,66,4,0,0,0,0,1
2011,1,Mike Williams,0,0,Lions,0,0,0,0,0,0,11.0,WR,0,1,50,4,0,0,0,0,0
2011,1,Jabar Gaffney,0,0,Giants,0,0,0,0,0,0,11.0,WR,0,1,54,3,0,0,0,0,0
2011,1,Mike Wallace,0,0,Ravens,0,0,0,0,0,0,10.0,WR,0,0,107,8,0,0,0,0,1
2011,1,Brian Hartline,0,0,Patriots,0,0,0,0,0,0,10.0,WR,0,1,47,4,0,0,0,0,0
2011,1,A.J. Green,0,0,Browns,0,0,0,0,0,0,10.0,WR,0,1,41,1,0,0,0,0,1
2011,1,Marcel Reece,0,0,Broncos,0,0,0,0,0,0,9.0,WR,0,1,23,3,0,1,0,11,1
2011,1,Randall Cobb,0,0,Saints,0,0,0,0,0,0,9.0,WR,0,1,35,2,0,0,0,0,0
2011,1,Deion Branch,0,0,Dolphins,0,0,0,0,0,0,9.0,WR,0,0,93,7,0,0,0,0,1
2011,1,Davone Bess,0,0,Patriots,0,0,0,0,0,0,9.0,WR,0,0,92,5,0,0,0,0,0
2011,1,Emmanuel Sanders,0,0,Ravens,0,0,0,0,0,0,8.0,WR,0,1,20,2,0,0,0,0,1
2011,1,Brandon Lloyd,0,0,Raiders,0,0,0,0,0,0,8.0,WR,0,0,89,6,0,0,0,0,0
