,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1563,2011,1,Panthers,0,1,0,Cardinals,295,28,4.0,DST,99,2.0,0,394,0,1
1594,2011,2,Panthers,0,1,0,Packers,295,30,3.0,DST,124,1.0,0,419,0,0
1608,2011,3,Panthers,0,0,1,Jaguars,129,10,13.0,DST,128,2.0,1,257,0,0
1657,2011,4,Panthers,0,0,1,Bears,93,34,3.0,DST,224,1.0,0,317,0,1
1680,2011,5,Panthers,0,0,1,Saints,343,30,4.0,DST,101,2.0,0,444,0,0
1713,2011,6,Panthers,0,0,0,Falcons,159,31,1.0,DST,166,1.0,0,325,0,1
1723,2011,7,Panthers,0,2,1,Redskins,261,20,13.0,DST,92,3.0,0,353,0,0
1759,2011,8,Panthers,0,1,0,Min,229,24,7.0,DST,132,4.0,0,361,0,0
1822,2011,10,Panthers,0,0,1,Titans,211,30,3.0,DST,172,1.0,0,383,0,0
1834,2011,11,Panthers,0,1,2,Lions,326,49,14.0,DST,169,2.0,0,495,1,1
1867,2011,12,Panthers,0,0,2,Colts,218,19,10.0,DST,105,2.0,0,323,0,1
1904,2011,13,Panthers,0,0,1,Buccaneers,207,19,8.0,DST,78,2.0,0,285,0,1
1944,2011,14,Panthers,0,0,0,Falcons,308,31,5.0,DST,86,3.0,1,394,0,0
1958,2011,15,Panthers,0,1,2,Texans,208,13,15.0,DST,150,2.0,0,358,0,1
1987,2011,16,Panthers,0,3,1,Buccaneers,258,16,15.0,DST,59,3.0,0,317,0,0
2044,2011,17,Panthers,0,0,1,Saints,409,45,2.0,DST,208,0.0,0,617,0,1
