,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
27,27,27,0,0,0,Chris Boswell,Browns,3.0,K,1,3,3,2017
32,32,32,0,4,4,Chris Boswell,Steelers,14.0,K,2,2,2,2017
86,86,86,0,2,1,Chris Boswell,Bears,5.0,K,3,2,2,2017
112,112,112,0,3,2,Chris Boswell,Ravens,8.0,K,4,2,2,2017
140,140,140,0,3,3,Chris Boswell,Steelers,9.0,K,5,0,0,2017
182,182,182,0,1,1,Chris Boswell,Chiefs,5.0,K,6,2,2,2017
190,190,190,0,5,5,Chris Boswell,Steelers,17.0,K,7,2,2,2017
230,230,230,0,2,2,Chris Boswell,Lions,8.0,K,8,2,2,2017
288,288,288,0,3,2,Chris Boswell,Colts,6.0,K,10,1,0,2017
300,300,300,1,4,4,Chris Boswell,Steelers,18.0,K,11,4,4,2017
343,343,343,1,1,1,Chris Boswell,Steelers,7.0,K,12,3,2,2017
364,364,364,0,3,3,Chris Boswell,Bengals,11.0,K,13,2,2,2017
