,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
27,27,27.0,0.0,0.0,0.0,Chris Boswell,Browns,3.0,K,1,3.0,3.0,2017.0
32,32,27.0,0.0,0.0,0.0,Chris Boswell,Steelers,3.0,K,2,3.0,3.0,2017.0
86,86,29.5,0.0,2.0,2.0,Chris Boswell,Bears,8.5,K,3,2.5,2.5,2017.0
112,112,48.333333333333336,0.0,2.0,1.6666666666666667,Chris Boswell,Ravens,7.333333333333333,K,4,2.3333333333333335,2.3333333333333335,2017.0
140,140,64.25,0.0,2.25,1.75,Chris Boswell,Steelers,7.5,K,5,2.25,2.25,2017.0
182,182,79.4,0.0,2.4,2.0,Chris Boswell,Chiefs,7.8,K,6,1.8,1.8,2017.0
190,190,96.5,0.0,2.1666666666666665,1.8333333333333333,Chris Boswell,Steelers,7.333333333333333,K,7,1.8333333333333333,1.8333333333333333,2017.0
230,230,109.85714285714286,0.0,2.5714285714285716,2.2857142857142856,Chris Boswell,Lions,8.714285714285714,K,8,1.8571428571428572,1.8571428571428572,2017.0
288,288,124.875,0.0,2.5,2.25,Chris Boswell,Colts,8.625,K,10,1.875,1.875,2017.0
300,300,143.0,0.0,2.5555555555555554,2.2222222222222223,Chris Boswell,Steelers,8.333333333333334,K,11,1.7777777777777777,1.6666666666666667,2017.0
343,343,158.7,0.1,2.7,2.4,Chris Boswell,Steelers,9.3,K,12,2.0,1.9,2017.0
364,364,175.45454545454547,0.18181818181818182,2.5454545454545454,2.272727272727273,Chris Boswell,Bengals,9.090909090909092,K,13,2.090909090909091,1.9090909090909092,2017.0
