,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
10,10,10,0,3,3,Blair Walsh,Packers,9.0,K,1,0,0,2017
51,51,51,0,2,2,Blair Walsh,Steelers,6.0,K,2,1,0,2017
93,93,93,0,0,0,Blair Walsh,Titans,3.0,K,3,3,3,2017
108,108,108,0,2,1,Blair Walsh,Steelers,8.0,K,4,5,5,2017
135,135,135,0,3,3,Blair Walsh,Rams,10.0,K,5,1,1,2017
203,203,203,0,1,1,Blair Walsh,Giants,6.0,K,7,3,3,2017
223,223,223,0,2,2,Blair Walsh,Steelers,11.0,K,8,5,5,2017
267,267,267,0,3,0,Blair Walsh,Steelers,0.0,K,9,0,0,2017
280,280,280,0,2,2,Blair Walsh,Cardinals,8.0,K,10,2,2,2017
303,303,303,0,4,3,Blair Walsh,Steelers,11.0,K,11,2,2,2017
344,344,344,0,2,1,Blair Walsh,49ers,6.0,K,12,3,3,2017
376,376,376,0,1,1,Blair Walsh,Steelers,6.0,K,13,3,3,2017
