,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
166,166,166.0,0.0,0.0,Kenyan Drake,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,2,2017.0
260,260,166.0,0.0,0.0,Kenyan Drake,Jets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,3,2017.0
353,353,213.0,0.0,0.0,Kenyan Drake,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,1.0,0.5,0.0,1.0,0.0,-1.5,4,2017.0
432,432,259.6666666666667,0.0,0.0,Kenyan Drake,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,2.3333333333333335,1.0,0.0,1.0,0.0,1.0,5,2017.0
638,638,302.75,0.0,0.0,Kenyan Drake,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,1.75,0.75,0.0,1.0,0.0,0.75,8,2017.0
676,676,369.8,0.0,0.0,Kenyan Drake,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.4,RB,0.0,0.0,1.4,0.6,0.0,2.0,0.0,5.0,9,2017.0
740,740,420.8333333333333,0.0,0.16666666666666666,Kenyan Drake,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,RB,0.0,0.0,7.0,1.5,0.16666666666666666,3.1666666666666665,0.0,15.666666666666666,10,2017.0
874,874,466.42857142857144,0.0,0.14285714285714285,Kenyan Drake,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,RB,0.0,0.0,7.428571428571429,1.5714285714285714,0.14285714285714285,3.7142857142857144,0.14285714285714285,25.142857142857142,11,2017.0
917,917,517.375,0.0,0.125,Kenyan Drake,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,3.5,RB,0.0,0.0,7.75,1.5,0.125,4.125,0.125,22.5,12,2017.0
980,980,561.7777777777778,0.0,0.2222222222222222,Kenyan Drake,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,4.111111111111111,RB,0.0,0.1111111111111111,9.88888888888889,1.6666666666666667,0.1111111111111111,4.666666666666667,0.1111111111111111,22.22222222222222,13,2017.0
