,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
9,9,9,0,3,3,Matt Bryant,Bears,11.0,K,1,2,2,2017
31,31,31,2,2,2,Matt Bryant,Falcons,14.0,K,2,4,4,2017
70,70,70,0,3,3,Matt Bryant,Lions,12.0,K,3,3,3,2017
120,120,120,0,1,1,Matt Bryant,Falcons,5.0,K,4,2,2,2017
175,175,175,1,2,1,Matt Bryant,Falcons,7.0,K,6,2,2,2017
214,214,214,0,2,0,Matt Bryant,Patriots,1.0,K,7,1,1,2017
221,221,221,0,4,4,Matt Bryant,Jets,13.0,K,8,1,1,2017
254,254,254,1,1,1,Matt Bryant,Panthers,7.0,K,9,2,2,2017
274,274,274,1,2,2,Matt Bryant,Falcons,11.0,K,10,3,3,2017
306,306,306,0,2,2,Matt Bryant,Steelers,10.0,K,11,4,4,2017
335,335,335,0,2,2,Matt Bryant,Falcons,10.0,K,12,4,4,2017
366,366,366,0,4,3,Matt Bryant,Falcons,9.0,K,13,0,0,2017
