,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
30,30,30.0,0.0,2.0,2.0,Bears,290.0,7.0,22.0,DST,20.0,1.0,0.0,Buccaneers,310.0,1.0,2,2017.0
93,93,30.0,0.0,2.0,2.0,Vikings,290.0,7.0,22.0,DST,20.0,1.0,0.0,Buccaneers,310.0,1.0,3,2017.0
125,125,61.5,0.0,1.0,1.0,Giants,329.5,20.5,11.0,DST,72.5,0.5,0.0,Buccaneers,402.0,0.5,4,2017.0
137,137,82.66666666666667,0.0,0.6666666666666666,0.6666666666666666,Patriots,315.6666666666667,21.333333333333332,7.666666666666667,DST,78.66666666666667,0.3333333333333333,0.0,Buccaneers,394.3333333333333,0.3333333333333333,5,2017.0
164,164,96.25,0.0,0.75,0.75,Cardinals,309.0,20.75,8.5,DST,87.25,1.0,0.0,Buccaneers,396.25,0.25,6,2017.0
207,207,109.8,0.0,0.8,0.8,Bills,301.6,24.2,9.2,DST,101.8,1.2,0.0,Buccaneers,403.4,0.4,7,2017.0
229,229,126.0,0.0,0.8333333333333334,0.6666666666666666,Panthers,294.8333333333333,25.166666666666668,8.166666666666666,DST,113.66666666666667,1.1666666666666667,0.0,Buccaneers,408.5,0.3333333333333333,8,2017.0
255,255,140.71428571428572,0.0,0.7142857142857143,0.7142857142857143,Saints,274.7142857142857,24.0,7.857142857142857,DST,111.71428571428571,1.0,0.0,Buccaneers,386.42857142857144,0.2857142857142857,9,2017.0
266,266,155.0,0.125,0.875,0.625,Jets,272.375,24.75,7.75,DST,116.625,1.0,0.0,Buccaneers,389.0,0.25,10,2017.0
296,296,167.33333333333334,0.1111111111111111,0.8888888888888888,0.6666666666666666,Dolphins,266.44444444444446,23.11111111111111,8.777777777777779,DST,109.88888888888889,1.5555555555555556,0.0,Buccaneers,376.3333333333333,0.2222222222222222,11,2017.0
349,349,180.2,0.1,1.0,0.9,Falcons,276.3,22.8,10.0,DST,107.2,1.5,0.0,Buccaneers,383.5,0.3,12,2017.0
373,373,195.54545454545453,0.09090909090909091,1.0,0.8181818181818182,Packers,284.6363636363636,23.818181818181817,9.272727272727273,DST,110.9090909090909,1.3636363636363635,0.0,Buccaneers,395.54545454545456,0.2727272727272727,13,2017.0
