,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
30,30,30,0,2,2,Bears,290,7,22.0,DST,20,1.0,0,Buccaneers,310,1,2,2017
93,93,93,0,0,0,Vikings,369,34,0.0,DST,125,0.0,0,Buccaneers,494,0,3,2017
125,125,125,0,0,0,Giants,288,23,1.0,DST,91,0.0,0,Buccaneers,379,0,4,2017
137,137,137,0,1,1,Patriots,289,19,11.0,DST,113,3.0,0,Buccaneers,402,0,5,2017
164,164,164,0,1,1,Cardinals,272,38,12.0,DST,160,2.0,0,Buccaneers,432,1,6,2017
207,207,207,0,1,0,Bills,261,30,3.0,DST,173,1.0,0,Buccaneers,434,0,7,2017
229,229,229,0,0,1,Panthers,154,17,6.0,DST,100,0.0,0,Buccaneers,254,0,8,2017
255,255,255,1,2,0,Saints,256,30,7.0,DST,151,1.0,0,Buccaneers,407,0,9,2017
266,266,266,0,1,1,Jets,219,10,17.0,DST,56,6.0,0,Buccaneers,275,0,10,2017
296,296,296,0,2,3,Dolphins,365,20,21.0,DST,83,1.0,0,Buccaneers,448,1,11,2017
349,349,349,0,1,0,Falcons,368,34,2.0,DST,148,0.0,0,Buccaneers,516,0,12,2017
373,373,373,0,0,1,Packers,77,26,5.0,DST,199,2.0,0,Buccaneers,276,0,13,2017
