,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1560,2011,1,Giants,0,1,0,Redskins,258,28,6.0,DST,74,4.0,0,332,0,1
1570,2011,2,Giants,0,2,0,Rams,308,16,16.0,DST,59,2.0,0,367,1,0
1612,2011,3,Giants,0,0,3,Eagles,199,16,12.0,DST,177,2.0,0,376,0,1
1644,2011,4,Giants,0,1,1,Cardinals,212,27,9.0,DST,156,4.0,0,368,0,1
1670,2011,5,Giants,0,2,1,Seahawks,279,36,12.0,DST,145,6.0,0,424,0,0
1705,2011,6,Giants,0,0,2,Bills,219,24,8.0,DST,155,3.0,0,374,0,0
1753,2011,8,Giants,0,0,1,Dolphins,101,17,11.0,DST,145,5.0,0,246,0,0
1775,2011,9,Giants,0,2,2,Patriots,332,20,14.0,DST,106,2.0,0,438,0,1
1818,2011,10,Giants,0,0,1,49ers,228,27,5.0,DST,77,2.0,0,305,0,1
1836,2011,11,Giants,0,0,3,Eagles,255,17,11.0,DST,136,1.0,0,391,0,0
1887,2011,12,Giants,0,0,0,Saints,372,49,0.0,DST,205,0.0,0,577,0,1
1910,2011,13,Giants,0,0,1,Packers,360,38,4.0,DST,89,2.0,0,449,0,0
1939,2011,14,Giants,1,1,0,Cowboys,305,34,9.0,DST,139,3.0,1,444,0,1
1976,2011,15,Giants,0,0,2,Redskins,177,23,6.0,DST,123,1.0,0,300,0,0
1986,2011,16,Giants,0,1,2,Jets,226,14,17.0,DST,105,5.0,1,331,0,1
2022,2011,17,Giants,0,1,1,Cowboys,251,14,14.0,DST,49,6.0,0,300,0,0
