,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
95,95,95,0,0,Jacquizz Rodgers,Buccaneers,0,0,0,0,0,0,12.0,RB,0,0,0,0,0,19,1,67,2,2017
239,239,239,0,0,Jacquizz Rodgers,Vikings,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,5,0,15,3,2017
281,281,281,0,0,Jacquizz Rodgers,Buccaneers,0,0,0,0,0,0,10.0,RB,0,0,25,2,0,16,0,83,4,2017
417,417,417,0,0,Jacquizz Rodgers,Buccaneers,0,0,0,0,0,0,1.0,RB,0,0,13,1,0,3,0,2,5,2017
503,503,503,0,0,Jacquizz Rodgers,Cardinals,0,0,0,0,0,0,0.0,RB,0,0,6,1,0,3,0,1,6,2017
581,581,581,0,0,Jacquizz Rodgers,Bills,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,1,0,2,7,2017
651,651,651,0,0,Jacquizz Rodgers,Buccaneers,0,0,0,0,0,0,0.0,RB,0,0,-5,1,0,1,0,1,8,2017
795,795,795,0,0,Jacquizz Rodgers,Buccaneers,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,3,0,12,10,2017
882,882,882,0,0,Jacquizz Rodgers,Dolphins,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,3,11,2017
937,937,937,0,0,Jacquizz Rodgers,Falcons,0,0,0,0,0,0,3.0,RB,0,0,6,1,0,8,0,31,12,2017
1034,1034,1034,0,0,Jacquizz Rodgers,Packers,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,3,0,25,13,2017
