,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
22,22,22,0,1,1,Panthers,171,23,5.0,DST,116,0.0,0,49ers,287,0,1,2017
46,46,46,0,0,0,Steelers,181,12,10.0,DST,131,3.0,0,49ers,312,0,2,2017
86,86,86,0,2,0,Rams,292,41,4.0,DST,126,0.0,0,49ers,418,0,3,2017
104,104,104,0,0,1,Cardinals,317,18,12.0,DST,51,6.0,0,49ers,368,0,4,2017
144,144,144,0,0,1,Colts,288,26,7.0,DST,159,4.0,0,49ers,447,0,5,2017
176,176,176,0,1,1,Redskins,325,26,6.0,DST,94,1.0,0,49ers,419,0,6,2017
211,211,211,0,0,0,Cowboys,236,40,0.0,DST,265,0.0,0,49ers,501,0,7,2017
232,232,232,0,0,1,Eagles,192,33,5.0,DST,112,3.0,0,49ers,304,0,8,2017
254,254,254,0,1,1,Cardinals,201,20,8.0,DST,167,0.0,0,49ers,368,0,9,2017
281,281,281,0,1,0,Giants,260,21,6.0,DST,114,3.0,0,49ers,374,0,10,2017
347,347,347,0,0,1,Steelers,228,24,3.0,DST,90,0.0,0,49ers,318,0,12,2017
369,369,369,0,0,0,Bears,85,14,6.0,DST,62,2.0,0,49ers,147,0,13,2017
