,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
46,46,46,0,3,2,Jake Elliott,Chiefs,8.0,K,2,2,2,2017
72,72,72,1,3,2,Jake Elliott,Eagles,11.0,K,3,3,3,2017
99,99,99,1,4,4,Jake Elliott,Chargers,16.0,K,4,2,2,2017
137,137,137,0,2,2,Jake Elliott,Eagles,10.0,K,5,4,4,2017
167,167,167,1,2,2,Jake Elliott,Panthers,10.0,K,6,2,2,2017
195,195,195,1,3,2,Jake Elliott,Eagles,12.0,K,7,4,4,2017
226,226,226,1,2,2,Jake Elliott,Eagles,9.0,K,8,3,1,2017
249,249,249,0,1,1,Jake Elliott,Eagles,9.0,K,9,7,6,2017
323,323,323,0,1,0,Jake Elliott,Cowboys,1.0,K,11,1,1,2017
342,342,342,0,1,1,Jake Elliott,Eagles,7.0,K,12,4,4,2017
382,382,382,0,1,1,Jake Elliott,Steelers,4.0,K,13,1,1,2017
