,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
2110,19,0,0,0,Ryan Succop,Buccaneers,6.0,K,1,6,6,2015,1
2151,60,0,0,0,Ryan Succop,Browns,2.0,K,2,2,2,2015,1
2159,68,0,2,2,Ryan Succop,Colts,9.0,K,3,3,3,2015,0
2232,141,0,2,2,Ryan Succop,Bills,7.0,K,5,1,1,2015,0
2268,177,0,1,1,Ryan Succop,Dolphins,4.0,K,6,1,1,2015,0
2303,212,0,0,0,Ryan Succop,Falcons,1.0,K,7,1,1,2015,0
2326,235,0,2,2,Ryan Succop,Texans,6.0,K,8,0,0,2015,1
2341,250,1,3,2,Ryan Succop,Saints,10.0,K,9,2,2,2015,1
2379,288,0,1,1,Ryan Succop,Panthers,4.0,K,10,1,1,2015,0
2401,310,0,3,2,Ryan Succop,Jaguars,7.0,K,11,1,1,2015,1
2448,357,0,0,0,Ryan Succop,Raiders,1.0,K,12,2,1,2015,0
2462,371,0,0,0,Ryan Succop,Jaguars,6.0,K,13,6,6,2015,0
2539,448,0,1,1,Ryan Succop,Patriots,4.0,K,15,2,1,2015,1
2598,507,0,1,1,Ryan Succop,Colts,6.0,K,17,3,3,2015,1
