,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
790,790,790.0,0.0,0.0,Josh Malone,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR,0.0,1.0,35.0,2.0,0.0,0.0,0.0,0.0,8,2017.0
942,942,790.0,0.0,0.0,Josh Malone,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR,0.0,1.0,35.0,2.0,0.0,0.0,0.0,0.0,9,2017.0
1059,1059,866.0,0.0,0.0,Josh Malone,Titans,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,0.0,0.5,24.0,1.5,0.0,0.0,0.0,0.0,10,2017.0
1394,1394,930.3333333333334,0.0,0.0,Josh Malone,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,WR,0.0,0.3333333333333333,18.0,1.3333333333333333,0.0,0.0,0.0,0.0,13,2017.0
