,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
17,17,17,0,0,0,Saints,284,19,5.0,DST,60,1.0,0,Vikings,344,0,1,2017
59,59,59,0,0,0,Steelers,233,26,3.0,DST,102,2.0,0,Vikings,335,0,2,2017
71,71,71,0,0,3,Buccaneers,316,17,12.0,DST,26,2.0,0,Vikings,342,0,3,2017
106,106,106,0,0,0,Lions,154,14,10.0,DST,97,6.0,0,Vikings,251,0,4,2017
142,142,142,0,1,1,Bears,159,17,9.0,DST,115,1.0,0,Vikings,274,0,5,2017
160,160,160,0,0,3,Packers,155,10,17.0,DST,72,4.0,0,Vikings,227,0,6,2017
193,193,193,0,0,0,Ravens,144,16,9.0,DST,64,5.0,0,Vikings,208,0,7,2017
221,221,221,0,2,0,Browns,161,16,11.0,DST,115,3.0,0,Vikings,276,0,8,2017
288,288,288,0,0,1,Redskins,313,30,3.0,DST,81,1.0,0,Vikings,394,0,10,2017
302,302,302,0,1,0,Rams,209,7,11.0,DST,45,2.0,0,Vikings,254,0,11,2017
336,336,336,0,1,1,Lions,236,23,8.0,DST,53,3.0,0,Vikings,289,0,12,2017
365,365,365,0,0,0,Falcons,173,9,7.0,DST,102,0.0,0,Vikings,275,0,13,2017
