,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
1539,2011,1,Texans,0,2,0,Colts,172,7,20.0,DST,64,3.0,0,236,1,0
1572,2011,2,Texans,1,1,1,Dolphins,153,13,15.0,DST,153,2.0,0,306,0,1
1622,2011,3,Texans,0,0,2,Saints,354,40,6.0,DST,100,2.0,0,454,0,1
1638,2011,4,Texans,1,0,1,Steelers,178,10,16.0,DST,118,5.0,0,296,0,0
1676,2011,5,Texans,0,0,1,Raiders,184,25,6.0,DST,94,3.0,0,278,0,0
1697,2011,6,Texans,0,1,1,Ravens,289,29,12.0,DST,113,2.0,0,402,1,1
1719,2011,7,Texans,0,0,2,Titans,95,7,19.0,DST,53,2.0,0,148,1,1
1755,2011,8,Texans,0,0,2,Jaguars,90,14,9.0,DST,84,1.0,0,174,0,0
1772,2011,9,Texans,0,1,1,Browns,128,12,15.0,DST,44,4.0,0,172,0,0
1801,2011,10,Texans,0,1,3,Buccaneers,141,9,19.0,DST,90,4.0,0,231,0,1
1860,2011,12,Texans,0,0,1,Jaguars,150,13,16.0,DST,105,7.0,0,255,0,1
1899,2011,13,Texans,0,0,2,Falcons,267,10,11.0,DST,70,0.0,0,337,0,0
1938,2011,14,Texans,0,2,0,Bengals,184,19,9.0,DST,101,1.0,0,285,0,1
1982,2011,15,Texans,0,0,0,Panthers,150,28,2.0,DST,166,2.0,0,316,0,0
1997,2011,16,Texans,0,1,0,Colts,225,19,9.0,DST,95,3.0,0,320,0,1
2040,2011,17,Texans,0,1,0,Titans,275,23,6.0,DST,86,3.0,0,361,0,0
