,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
2635,26,0,2,1,Alex Henery,Browns,5.0,K,1,2,2,2012,1
2663,54,0,1,1,Alex Henery,Ravens,6.0,K,2,3,3,2012,0
2697,88,0,2,2,Alex Henery,Cardinals,6.0,K,3,0,0,2012,1
2713,104,0,4,4,Alex Henery,Giants,13.0,K,4,1,1,2012,0
2764,155,0,0,0,Alex Henery,Steelers,2.0,K,5,2,2,2012,1
2775,166,0,3,3,Alex Henery,Lions,11.0,K,6,2,2,2012,0
2843,234,0,1,1,Alex Henery,Falcons,5.0,K,8,2,2,2012,0
2865,256,0,2,2,Alex Henery,Saints,7.0,K,9,1,1,2012,1
2904,295,0,1,1,Alex Henery,Cowboys,5.0,K,10,3,2,2012,0
2929,320,0,2,2,Alex Henery,Redskins,6.0,K,11,0,0,2012,1
2944,335,0,3,3,Alex Henery,Panthers,10.0,K,12,1,1,2012,0
2983,374,0,2,2,Alex Henery,Cowboys,9.0,K,13,3,3,2012,1
3024,415,0,3,1,Alex Henery,Buccaneers,5.0,K,14,2,2,2012,1
3051,442,0,2,2,Alex Henery,Bengals,7.0,K,15,1,1,2012,0
3079,470,0,2,2,Alex Henery,Redskins,8.0,K,16,2,2,2012,0
3130,521,0,1,0,Alex Henery,Giants,1.0,K,17,1,1,2012,1
