,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
0,0,1,4,Phi,306,17,22.00,DST,150,2.0,0,Cleveland BrownsCleveland,456,1,1,2012
1,0,1,1,Cin,193,13,21.00,DST,129,4.0,0,Baltimore RavensBaltimore,322,1,1,2012
2,0,1,3,Buf,195,28,20.00,DST,195,0.0,0,New York JetsNY Jets,390,2,1,2012
3,0,1,1,@Ten,264,13,19.00,DST,20,2.0,0,New England PatriotsNew England,284,1,1,2012
4,0,0,1,Pit,209,19,17.00,DST,75,5.0,0,Denver BroncosDenver,284,1,1,2012
5,0,1,3,Mia,199,10,17.00,DST,76,2.0,0,Houston TexansHouston,275,0,1,2012
6,1,0,2,Car,291,10,16.00,DST,10,3.0,0,Tampa Bay BuccaneersTampa Bay,301,0,1,2012
7,0,2,3,Ind,293,21,14.00,DST,63,3.0,0,Chicago BearsChicago,356,0,1,2012
8,0,0,4,@Cle,111,16,14.00,DST,99,2.0,0,Philadelphia EaglesPhiladelphia,210,0,1,2012
9,0,0,3,@Det,346,27,14.00,DST,83,1.0,0,St. Louis RamsSt. Louis,429,1,1,2012
10,1,1,1,Sea,139,16,13.00,DST,115,3.0,0,Arizona CardinalsArizona,254,0,1,2012
11,1,1,0,@Oak,276,14,11.00,DST,45,3.0,0,San Diego ChargersSan Diego,321,0,1,2012
12,0,1,2,@KC,241,24,10.00,DST,152,3.0,0,Atlanta FalconsAtlanta,393,0,1,2012
13,0,0,0,SF,191,30,10.00,DST,186,4.0,0,Green Bay PackersGreen Bay,377,1,1,2012
14,0,0,1,@Chi,314,41,10.00,DST,114,2.0,0,Indianapolis ColtsIndianapolis,428,1,1,2012
15,1,0,0,Was,306,40,10.00,DST,153,2.0,0,New Orleans SaintsNew Orleans,459,1,1,2012
16,0,1,0,@NYG,187,17,9.00,DST,82,3.0,0,Dallas CowboysDallas,269,0,1,2012
17,0,1,1,@Ari,210,20,9.00,DST,43,1.0,0,Seattle SeahawksSeattle,253,0,1,2012
18,0,0,0,@Hou,254,30,8.00,DST,83,2.0,0,Miami DolphinsMiami,337,1,1,2012
19,1,1,0,Jax,242,23,7.00,DST,113,2.0,0,Minnesota VikingsMinnesota,355,0,1,2012
20,0,0,0,@TB,128,16,6.00,DST,130,2.0,0,Carolina PanthersCarolina,258,0,1,2012
21,0,0,1,@GB,279,22,6.00,DST,45,3.0,0,San Francisco 49ersSan Francisco,324,0,1,2012
22,0,0,2,@NO,326,32,6.00,DST,32,2.0,0,Washington RedskinsWashington,358,0,1,2012
23,0,0,0,Stl,173,23,5.00,DST,77,4.0,0,Detroit LionsDetroit,250,0,1,2012
24,0,1,0,@Min,266,26,5.00,DST,123,2.0,0,Jacksonville JaguarsJacksonville,389,0,1,2012
25,0,0,1,Dal,290,24,5.00,DST,143,2.0,0,New York GiantsNY Giants,433,0,1,2012
26,0,1,0,@Den,240,31,4.00,DST,94,2.0,0,Pittsburgh SteelersPittsburgh,334,0,1,2012
27,0,0,0,@Bal,308,44,3.00,DST,122,3.0,0,Cincinnati BengalsCincinnati,430,0,1,2012
28,0,0,1,@NYJ,266,48,2.00,DST,118,0.0,0,Buffalo BillsBuffalo,384,0,1,2012
