,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
0,0,0,2,SF,214,6,22.00,DST,49,2.0,0,Seattle SeahawksSeattle,263,1,1,2010
1,1,1,3,@Stl,240,13,19.00,DST,85,2.0,0,Arizona CardinalsArizona,325,0,1,2010
2,0,1,1,Cin,341,24,18.00,DST,87,1.0,0,New England PatriotsNew England,428,2,1,2010
3,0,2,3,Car,148,18,18.00,DST,89,4.0,0,New York GiantsNY Giants,237,0,1,2010
4,0,3,1,@Chi,362,19,16.00,DST,101,4.0,0,Detroit LionsDetroit,463,0,1,2010
5,0,1,0,Dal,277,7,16.00,DST,103,1.0,0,Washington RedskinsWashington,380,1,1,2010
6,0,2,1,Bal,233,10,15.00,DST,49,2.0,0,New York JetsNY Jets,282,0,1,2010
7,0,1,1,Oak,150,13,15.00,DST,136,4.0,0,Tennessee TitansTennessee,286,0,1,2010
8,0,1,0,SD,280,14,14.00,DST,109,2.0,0,Kansas City ChiefsKansas City,389,1,1,2010
9,0,4,0,Ari,266,17,14.00,DST,112,2.0,0,St. Louis RamsSt. Louis,378,0,1,2010
10,1,1,3,@NYG,258,31,13.00,DST,118,1.0,1,Carolina PanthersCarolina,376,0,1,2010
11,0,2,1,Det,148,14,12.00,DST,20,2.0,0,Chicago BearsChicago,168,0,1,2010
12,0,1,0,@Phi,171,20,12.00,DST,149,6.0,0,Green Bay PackersGreen Bay,320,0,1,2010
13,0,0,0,@Buf,116,10,12.00,DST,50,3.0,1,Miami DolphinsMiami,166,0,1,2010
14,1,0,1,Min,162,9,12.00,DST,91,1.0,0,New Orleans SaintsNew Orleans,253,0,1,2010
15,0,1,0,@NYJ,60,9,11.00,DST,116,2.0,0,Baltimore RavensBaltimore,176,0,1,2010
16,0,1,1,@TB,169,17,11.00,DST,119,3.0,0,Cleveland BrownsCleveland,288,0,1,2010
17,0,1,1,Den,274,17,11.00,DST,89,3.0,0,Jacksonville JaguarsJacksonville,363,0,1,2010
18,0,0,1,Atl,237,9,11.00,DST,58,2.0,0,Pittsburgh SteelersPittsburgh,295,0,1,2010
19,0,1,2,Cle,236,14,10.00,DST,104,0.0,0,Tampa Bay BuccaneersTampa Bay,340,0,1,2010
20,0,0,1,@Pit,211,15,9.00,DST,143,3.0,0,Atlanta FalconsAtlanta,354,0,1,2010
21,0,0,0,@Was,161,13,8.00,DST,89,1.0,0,Dallas CowboysDallas,250,0,1,2010
22,0,0,2,GB,167,27,8.00,DST,132,3.0,0,Philadelphia EaglesPhiladelphia,299,0,1,2010
23,0,0,0,Mia,164,15,7.00,DST,132,3.0,0,Buffalo BillsBuffalo,296,0,1,2010
24,0,1,0,Ind,419,24,5.00,DST,44,2.0,0,Houston TexansHouston,463,0,1,2010
25,0,0,0,@NO,229,14,5.00,DST,79,1.0,0,Minnesota VikingsMinnesota,308,0,1,2010
26,0,0,1,@Hou,98,34,4.00,DST,257,2.0,0,Indianapolis ColtsIndianapolis,355,0,1,2010
27,0,1,0,@Ten,140,38,4.00,DST,205,2.0,0,Oakland RaidersOakland,345,0,1,2010
28,0,0,1,@Sea,165,31,3.00,DST,77,1.0,0,San Francisco 49ersSan Francisco,242,0,1,2010
29,0,0,0,@Jax,165,24,2.00,DST,134,1.0,0,Denver BroncosDenver,299,0,1,2010
30,0,0,0,@KC,62,21,2.00,DST,135,1.0,0,San Diego ChargersSan Diego,197,0,1,2010
31,0,0,0,@NE,258,38,0.00,DST,118,0.0,0,Cincinnati BengalsCincinnati,376,0,1,2010
