,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
32,32,32,0,0,Mark Ingram,Vikings,0,0,0,0,0,0,6.0,RB,0,0,54,5,0,6,0,17,1,2017
112,112,112,0,0,Mark Ingram,Saints,0,0,0,0,0,0,7.0,RB,0,0,24,4,0,8,0,52,2,2017
195,195,195,0,0,Mark Ingram,Panthers,0,0,0,0,0,0,8.0,RB,0,0,30,2,0,14,0,56,3,2017
298,298,298,0,0,Mark Ingram,Dolphins,0,0,0,0,0,0,5.0,RB,0,0,17,4,0,14,0,45,4,2017
436,436,436,0,1,Mark Ingram,Saints,0,0,0,0,0,0,25.0,RB,0,0,36,5,0,25,2,114,6,2017
517,517,517,0,0,Mark Ingram,Packers,0,0,0,0,0,0,16.0,RB,0,0,5,4,0,22,1,105,7,2017
601,601,601,0,2,Mark Ingram,Saints,0,0,0,0,0,0,13.0,RB,0,0,24,6,0,18,1,75,8,2017
683,683,683,0,0,Mark Ingram,Saints,0,0,0,0,0,0,7.0,RB,0,0,2,1,0,16,0,77,9,2017
735,735,735,0,0,Mark Ingram,Bills,0,0,0,0,0,0,31.0,RB,0,0,0,0,0,21,3,131,10,2017
819,819,819,0,0,Mark Ingram,Saints,0,0,0,0,0,0,21.0,RB,0,0,21,3,0,11,1,134,11,2017
942,942,942,0,0,Mark Ingram,Rams,0,0,0,0,0,0,3.0,RB,0,0,5,2,0,11,0,31,12,2017
984,984,984,0,0,Mark Ingram,Saints,0,0,0,0,0,0,17.0,RB,0,0,37,6,0,14,1,85,13,2017
