,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
15,15,15,1,1,1,Connor Barth,Bears,7.0,K,1,2,2,2017
62,62,62,0,0,0,Connor Barth,Buccaneers,1.0,K,2,1,1,2017
87,87,87,0,2,1,Connor Barth,Bears,5.0,K,3,2,2,2017
125,125,125,0,1,0,Connor Barth,Packers,2.0,K,4,2,2,2017
158,158,158,0,0,0,Connor Barth,Bears,1.0,K,5,1,1,2017
168,168,168,0,2,2,Connor Barth,Ravens,9.0,K,6,3,3,2017
206,206,206,0,2,1,Connor Barth,Bears,5.0,K,7,2,2,2017
235,235,235,0,3,2,Connor Barth,Saints,6.0,K,8,0,0,2017
277,277,277,0,3,3,Connor Barth,Bears,10.0,K,10,1,1,2017
316,316,316,0,2,1,Connor Barth,Bears,6.0,K,11,3,3,2017
