,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
3,3,3,0,3,1,Redskins,200,17,22.0,DST,64,4.0,0,Eagles,264,1,1,2017
54,54,54,0,0,0,Chiefs,232,27,5.0,DST,112,4.0,0,Eagles,344,0,2,2017
85,85,85,0,0,2,Giants,366,24,5.0,DST,49,0.0,0,Eagles,415,0,3,2017
115,115,115,0,1,0,Chargers,342,24,5.0,DST,58,2.0,0,Eagles,400,0,4,2017
131,131,131,1,1,0,Cardinals,276,7,13.0,DST,31,2.0,0,Eagles,307,0,5,2017
168,168,168,0,0,3,Panthers,225,23,9.0,DST,80,2.0,0,Eagles,305,0,6,2017
199,199,199,0,0,1,Redskins,269,24,7.0,DST,75,4.0,0,Eagles,344,0,7,2017
214,214,214,1,0,2,49ers,144,10,23.0,DST,94,4.0,0,Eagles,238,1,8,2017
253,253,253,0,0,2,Broncos,191,23,8.0,DST,35,3.0,0,Eagles,226,0,9,2017
295,295,295,0,1,3,Cowboys,113,9,25.0,DST,112,4.0,0,Eagles,225,1,11,2017
324,324,324,0,0,2,Bears,134,3,16.0,DST,6,2.0,0,Eagles,140,0,12,2017
378,378,378,0,0,0,Steelers,209,24,3.0,DST,101,2.0,0,Eagles,310,0,13,2017
