,Unnamed: 0,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year,Away Games
0,0,0,2,1,Titans,252,16,24.0,DST,64,2.0,0,Vikings,316,2,1,2016,1
1,1,1,1,1,Seahawks,240,12,16.0,DST,112,3.0,0,Dolphins,352,0,1,2016,1
2,2,0,0,2,LA,120,0,16.0,DST,65,2.0,0,49ers,185,0,1,2016,0
3,3,0,0,1,Browns,168,10,14.0,DST,120,3.0,1,Eagles,288,0,1,2016,0
4,4,1,0,0,Dolphins,150,10,14.0,DST,64,5.0,0,Seahawks,214,0,1,2016,0
5,5,0,1,0,Ravens,225,13,13.0,DST,83,4.0,0,Bills,308,0,1,2016,1
6,6,0,0,1,Bears,185,14,11.0,DST,73,5.0,0,Texans,258,0,1,2016,0
7,7,0,0,1,Bengals,324,23,10.0,DST,57,7.0,0,Jets,381,0,1,2016,0
8,8,0,0,0,Bills,95,7,9.0,DST,65,2.0,0,Ravens,160,0,1,2016,0
9,9,0,1,2,Broncos,159,21,9.0,DST,148,2.0,0,Panthers,307,0,1,2016,1
10,10,0,0,1,Panthers,176,20,9.0,DST,157,3.0,0,Broncos,333,0,1,2016,0
11,11,0,0,1,Giants,203,20,8.0,DST,113,2.0,0,Cowboys,316,0,1,2016,0
12,12,0,0,2,Redskins,329,16,8.0,DST,55,0.0,0,Steelers,384,0,1,2016,1
13,13,0,2,0,Patriots,257,23,7.0,DST,106,2.0,0,Cardinals,363,0,1,2016,0
14,14,1,0,1,Jets,188,22,6.0,DST,152,1.0,0,Bengals,340,0,1,2016,1
15,15,0,0,1,Jaguars,300,23,6.0,DST,48,3.0,0,Packers,348,0,1,2016,1
16,16,0,0,1,Texans,215,23,5.0,DST,129,2.0,0,Bears,344,0,1,2016,1
17,17,0,0,1,Chiefs,330,33,5.0,DST,83,3.0,0,Chargers,413,0,1,2016,1
18,18,0,0,0,Colts,368,35,4.0,DST,82,2.0,1,Lions,450,0,1,2016,1
19,19,0,0,0,Cardinals,252,21,4.0,DST,92,3.0,0,Patriots,344,0,1,2016,1
20,20,0,0,0,Cowboys,227,19,4.0,DST,101,0.0,0,Giants,328,0,1,2016,1
21,21,0,0,0,Falcons,322,24,4.0,DST,52,3.0,0,Buccaneers,374,0,1,2016,1
