,Unnamed: 0,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year,Away Games
0,0,0,3,3,Giants,428,31,27.0,DST,50,3.0,0,Cowboys,478,2,1,2013,0
1,1,0,0,2,Jaguars,107,2,26.0,DST,71,6.0,0,Chiefs,178,1,1,2013,1
2,2,0,0,3,Browns,244,10,19.0,DST,47,6.0,0,Dolphins,291,0,1,2013,1
3,3,0,2,1,Patriots,273,23,16.0,DST,158,3.0,0,Bills,431,1,1,2013,0
4,4,0,1,1,Steelers,163,9,16.0,DST,31,5.0,0,Titans,194,0,1,2013,1
5,5,0,1,1,Buccaneers,185,17,13.0,DST,65,3.0,1,Jets,250,0,1,2013,0
6,6,0,1,1,Jets,214,18,13.0,DST,90,5.0,0,Buccaneers,304,0,1,2013,1
7,7,0,2,0,Eagles,180,33,13.0,DST,263,3.0,0,Redskins,443,1,1,2013,0
8,8,0,1,3,Min,225,24,12.0,DST,105,3.0,0,Lions,330,0,1,2013,0
9,9,0,1,2,Redskins,308,27,12.0,DST,74,3.0,1,Eagles,382,0,1,2013,1
10,10,0,2,0,Panthers,119,7,12.0,DST,134,1.0,0,Seahawks,253,0,1,2013,1
11,11,0,1,1,Rams,299,27,11.0,DST,67,0.0,0,Cardinals,366,1,1,2013,1
12,12,0,1,0,Seahawks,300,12,11.0,DST,70,2.0,0,Panthers,370,0,1,2013,0
13,13,1,0,2,Ravens,335,27,11.0,DST,58,4.0,0,Broncos,393,0,1,2013,0
14,14,0,1,1,Falcons,279,17,11.0,DST,88,3.0,0,Saints,367,0,1,2013,0
15,15,0,0,1,Chargers,183,28,10.0,DST,80,2.0,0,Texans,263,1,1,2013,1
16,16,0,0,2,Raiders,201,17,9.0,DST,171,1.0,0,Colts,372,0,1,2013,0
17,17,0,1,1,Cardinals,304,24,9.0,DST,86,4.0,0,Rams,390,0,1,2013,0
18,18,0,1,2,Bengals,277,21,8.0,DST,63,1.0,0,Bears,340,0,1,2013,0
19,19,0,0,1,Dolphins,255,23,7.0,DST,20,4.0,0,Browns,275,0,1,2013,0
20,20,0,0,0,Titans,117,16,7.0,DST,112,1.0,1,Steelers,229,0,1,2013,0
21,21,0,1,1,Packers,322,28,6.0,DST,63,2.0,0,49ers,385,0,1,2013,0
22,22,0,0,1,Saints,341,23,5.0,DST,78,2.0,0,Falcons,419,0,1,2013,1
23,23,0,1,0,Broncos,445,49,5.0,DST,65,3.0,0,Ravens,510,0,1,2013,1
24,24,1,0,0,Chiefs,171,28,5.0,DST,121,1.0,1,Jaguars,292,0,1,2013,0
25,25,0,2,0,Bills,150,21,5.0,DST,136,0.0,0,Patriots,286,0,1,2013,1
26,26,0,0,0,Colts,147,21,5.0,DST,127,4.0,0,Raiders,274,0,1,2013,1
27,27,0,1,1,Lions,357,34,4.0,DST,112,0.0,0,Vikings,469,0,1,2013,1
28,28,0,0,1,Cowboys,244,36,4.0,DST,87,2.0,0,Giants,331,0,1,2013,1
29,29,0,0,1,Texans,329,31,4.0,DST,120,2.0,0,Chargers,449,0,1,2013,0
30,30,0,0,1,Bears,242,24,3.0,DST,81,0.0,0,Bengals,323,0,1,2013,1
31,31,0,0,0,49ers,404,34,2.0,DST,90,2.0,0,Packers,494,0,1,2013,1
32,32,0,2,3,49ers,107,3,25.0,DST,100,3.0,1,Seahawks,207,0,2,2013,0
33,33,0,2,2,Bears,284,31,21.0,DST,127,1.0,0,Vikings,411,2,2,2013,1
34,34,0,1,3,Jets,189,10,19.0,DST,129,4.0,0,Patriots,318,0,2,2013,0
35,35,0,0,2,Saints,296,16,18.0,DST,75,4.0,0,Buccaneers,371,1,2,2013,0
36,36,0,0,4,Giants,353,23,16.0,DST,23,1.0,0,Broncos,376,1,2,2013,1
37,37,0,0,0,Browns,194,6,15.0,DST,65,5.0,0,Ravens,259,0,2,2013,0
38,38,0,2,1,Min,227,30,13.0,DST,123,1.0,0,Bears,350,1,2,2013,0
39,39,0,1,1,Steelers,234,10,13.0,DST,44,2.0,0,Bengals,278,0,2,2013,0
40,40,0,0,0,Jaguars,214,9,12.0,DST,34,5.0,0,Raiders,248,0,2,2013,0
41,41,0,0,2,Texans,280,30,12.0,DST,172,2.0,0,Titans,452,1,2,2013,1
42,42,0,2,0,Cowboys,281,16,11.0,DST,37,3.0,0,Chiefs,318,0,2,2013,0
43,43,1,0,0,Chiefs,199,17,10.0,DST,114,4.0,0,Cowboys,313,0,2,2013,1
44,44,0,0,1,Cardinals,261,25,10.0,DST,87,1.0,0,Lions,348,1,2,2013,1
45,45,0,0,1,Rams,352,24,9.0,DST,69,0.0,0,Falcons,421,1,2,2013,0
46,46,0,0,1,Panthers,183,23,9.0,DST,125,6.0,0,Bills,308,0,2,2013,0
47,47,0,1,0,Raiders,114,19,9.0,DST,226,3.0,0,Jaguars,340,0,2,2013,1
48,48,0,0,1,Colts,315,20,9.0,DST,133,3.0,0,Dolphins,448,0,2,2013,1
49,49,0,1,1,Buccaneers,113,14,9.0,DST,160,1.0,0,Saints,273,0,2,2013,1
50,50,0,1,0,Ravens,197,14,8.0,DST,99,2.0,0,Browns,296,0,2,2013,1
51,51,0,1,0,Dolphins,297,24,8.0,DST,101,5.0,0,Colts,398,0,2,2013,0
52,52,0,0,0,Patriots,178,13,8.0,DST,54,1.0,0,Jets,232,0,2,2013,1
53,53,1,0,1,Seahawks,118,29,8.0,DST,172,4.0,0,49ers,290,0,2,2013,1
54,54,0,0,1,Redskins,314,20,7.0,DST,108,1.0,0,Packers,422,0,2,2013,0
