,Points,Receptions,Pass 2PT,Pass Interceptions,Receiving 2PT,Rush TD,Year,Pass Completions,Receiving TD,Fumble TD,Pass TD,Rush 2PT,Pass Attempts,Away Games,Rush Yards,Pass Yards,Receiving Yards,Rush Attempts,Week,Fumbles Lost,Name,Opponent,Position
66,9.0,9.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1521.0,0.0,1,0.0,Pierre Garcon,Texans,WR
67,9.0,1.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,0.0,1,0.0,Jeff Cumberland,Cowboys,WR
68,4.0,4.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1,0.0,Bryan Walters,Min,WR
69,4.0,1.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1,0.0,Greg Salas,Eagles,WR
70,4.0,4.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,1,0.0,Andre Roberts,Panthers,WR
71,4.0,4.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169.0,0.0,144.0,1.0,1,0.0,Ben Obomanu,49ers,WR
72,4.0,1.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,441.0,0.0,1,0.0,Legedu Naanee,Cardinals,WR
73,4.0,4.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,0.0,1,0.0,Josh Morgan,Seahawks,WR
74,4.0,1.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,400.0,0.0,1,0.0,Jeremy Maclin,Rams,WR
75,4.0,9.0,0.0,0.0,0.0,0.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.0,1,0.0,Braylon Edwards,Seahawks,WR
