,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
18,18,18.0,0.0,1.0,0.0,Chiefs,352.0,42.0,5.0,DST,185.0,3.0,0.0,Patriots,537.0,0.0,1,2017.0
53,53,18.0,0.0,1.0,0.0,Saints,352.0,42.0,5.0,DST,185.0,3.0,0.0,Patriots,537.0,0.0,2,2017.0
80,80,35.5,0.0,0.5,0.0,Texans,350.0,31.0,5.0,DST,133.0,2.0,0.0,Patriots,483.0,0.0,3,2017.0
112,112,50.333333333333336,0.0,0.3333333333333333,0.6666666666666666,Panthers,330.6666666666667,31.666666666666668,5.333333333333333,DST,130.33333333333334,2.0,0.0,Patriots,461.0,0.0,4,2017.0
146,146,65.75,0.0,0.5,0.75,Buccaneers,324.0,32.0,5.5,DST,132.75,2.0,0.0,Patriots,456.75,0.0,5,2017.0
162,162,81.8,0.0,0.4,0.6,Jets,323.0,28.4,5.6,DST,124.2,2.0,0.0,Patriots,447.2,0.0,6,2017.0
191,191,95.16666666666667,0.0,0.5,0.8333333333333334,Falcons,324.8333333333333,26.5,7.0,DST,115.83333333333333,2.3333333333333335,0.0,Patriots,440.6666666666667,0.0,7,2017.0
220,220,108.85714285714286,0.14285714285714285,0.42857142857142855,0.7142857142857143,Chargers,310.2857142857143,23.714285714285715,7.428571428571429,DST,116.42857142857143,2.142857142857143,0.0,Patriots,426.7142857142857,0.0,8,2017.0
267,267,122.75,0.25,0.375,0.75,Broncos,295.5,22.375,8.25,DST,121.5,2.0,0.125,Patriots,417.0,0.0,10,2017.0
301,301,138.77777777777777,0.3333333333333333,0.4444444444444444,0.7777777777777778,Raiders,287.22222222222223,21.666666666666668,9.11111111111111,DST,121.11111111111111,1.7777777777777777,0.1111111111111111,Patriots,408.3333333333333,0.1111111111111111,11,2017.0
323,323,155.0,0.3,0.5,0.8,Dolphins,282.0,20.3,9.4,DST,119.9,1.7,0.1,Patriots,401.9,0.1,12,2017.0
357,357,170.27272727272728,0.2727272727272727,0.5454545454545454,0.9090909090909091,Bills,270.3636363636364,20.0,10.090909090909092,DST,115.0909090909091,2.1818181818181817,0.09090909090909091,Patriots,385.45454545454544,0.09090909090909091,13,2017.0
