,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
10,10,10.0,0.0,0.0,DeShone Kizer,Browns,0.0,30.0,20.0,1.0,1.0,222.0,19.0,QB,0.0,0.0,0.0,0.0,0.0,5.0,1.0,17.0,1,2017.0
64,64,10.0,0.0,0.0,DeShone Kizer,Ravens,0.0,30.0,20.0,1.0,1.0,222.0,19.0,QB,0.0,0.0,0.0,0.0,0.0,5.0,1.0,17.0,2,2017.0
80,80,37.0,0.0,0.5,DeShone Kizer,Colts,0.0,30.5,17.5,2.0,0.5,202.0,10.5,QB,0.0,0.0,0.0,0.0,0.0,5.0,0.5,21.5,3,2017.0
133,133,51.333333333333336,0.0,0.3333333333333333,DeShone Kizer,Browns,0.0,36.0,19.0,2.3333333333333335,1.0,215.33333333333334,15.333333333333334,QB,0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.6666666666666666,29.0,4,2017.0
165,165,71.75,0.0,0.25,DeShone Kizer,Browns,0.0,35.5,18.25,2.0,0.75,191.0,12.25,QB,0.0,0.0,0.0,0.0,0.0,5.5,0.5,24.25,5,2017.0
234,234,90.4,0.0,0.4,DeShone Kizer,Browns,0.0,31.8,16.2,1.8,0.6,170.2,10.2,QB,0.0,0.0,0.0,0.0,0.0,5.6,0.4,25.2,7,2017.0
250,250,114.33333333333333,0.0,0.3333333333333333,DeShone Kizer,Browns,0.0,29.833333333333332,15.5,1.8333333333333333,0.5,160.83333333333334,8.5,QB,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.3333333333333333,21.0,8,2017.0
301,301,133.71428571428572,0.0,0.2857142857142857,DeShone Kizer,Lions,0.0,30.428571428571427,15.857142857142858,1.5714285714285714,0.42857142857142855,163.42857142857142,9.285714285714286,QB,0.0,0.0,0.0,0.0,0.0,4.714285714285714,0.42857142857142855,20.571428571428573,10,2017.0
349,349,154.625,0.0,0.25,DeShone Kizer,Browns,0.0,31.25,16.5,1.5,0.5,172.0,11.125,QB,0.0,0.0,0.0,0.0,0.0,5.0,0.5,25.125,11,2017.0
374,374,176.22222222222223,0.0,0.4444444444444444,DeShone Kizer,Bengals,0.0,31.333333333333332,16.444444444444443,1.5555555555555556,0.5555555555555556,172.77777777777777,10.88888888888889,QB,0.0,0.0,0.0,0.0,0.0,5.0,0.4444444444444444,24.77777777777778,12,2017.0
416,416,196.0,0.0,0.4,DeShone Kizer,Chargers,0.0,31.3,16.6,1.4,0.5,182.3,11.7,QB,0.0,0.0,0.0,0.0,0.0,5.4,0.5,26.2,13,2017.0
