,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
2103,12.0,0.0,2.0,2.0,Dan Bailey,Giants,9.0,K,1,3.0,3.0,2015.0,0.0
2135,12.0,0.0,2.0,2.0,Dan Bailey,Eagles,9.0,K,2,3.0,3.0,2015.0,0.0
2180,28.0,0.0,2.0,2.0,Dan Bailey,Falcons,8.5,K,3,2.5,2.5,2015.0,0.5
2204,48.333333333333336,0.0,1.3333333333333333,1.3333333333333333,Dan Bailey,Saints,7.0,K,4,3.0,3.0,2015.0,0.3333333333333333
2231,64.5,0.0,1.5,1.5,Dan Bailey,Patriots,7.25,K,5,2.75,2.75,2015.0,0.5
2289,79.6,0.2,1.6,1.6,Dan Bailey,Giants,7.4,K,7,2.2,2.2,2015.0,0.4
2307,99.33333333333333,0.16666666666666666,1.6666666666666667,1.6666666666666667,Dan Bailey,Seahawks,7.5,K,8,2.1666666666666665,2.1666666666666665,2015.0,0.5
2344,116.0,0.2857142857142857,2.0,2.0,Dan Bailey,Eagles,8.428571428571429,K,9,1.8571428571428572,1.8571428571428572,2015.0,0.42857142857142855
2373,133.125,0.25,2.0,2.0,Dan Bailey,Buccaneers,8.5,K,10,2.0,2.0,2015.0,0.375
2406,149.66666666666666,0.3333333333333333,2.111111111111111,2.0,Dan Bailey,Dolphins,8.444444444444445,K,11,1.7777777777777777,1.7777777777777777,2015.0,0.4444444444444444
2440,166.2,0.3,2.0,1.9,Dan Bailey,Panthers,8.2,K,12,1.9,1.9,2015.0,0.5
2452,182.8181818181818,0.2727272727272727,2.0,1.9090909090909092,Dan Bailey,Redskins,8.0,K,13,1.7272727272727273,1.7272727272727273,2015.0,0.45454545454545453
2511,197.66666666666666,0.3333333333333333,2.1666666666666665,2.0833333333333335,Dan Bailey,Packers,8.583333333333334,K,14,1.6666666666666667,1.6666666666666667,2015.0,0.5
2517,214.76923076923077,0.3076923076923077,2.0,1.9230769230769231,Dan Bailey,Jets,8.0,K,15,1.6153846153846154,1.6153846153846154,2015.0,0.5384615384615384
2564,229.85714285714286,0.35714285714285715,2.0714285714285716,2.0,Dan Bailey,Bills,8.285714285714286,K,16,1.5714285714285714,1.5714285714285714,2015.0,0.5
2606,246.06666666666666,0.3333333333333333,2.1333333333333333,2.0,Dan Bailey,Redskins,8.133333333333333,K,17,1.4666666666666666,1.4666666666666666,2015.0,0.5333333333333333
