,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
18,18,18,0,1,0,Chiefs,352,42,5.0,DST,185,3.0,0,Patriots,537,0,1,2017
53,53,53,0,0,0,Saints,348,20,5.0,DST,81,1.0,0,Patriots,429,0,2,2017
80,80,80,0,0,2,Texans,292,33,6.0,DST,125,2.0,0,Patriots,417,0,3,2017
112,112,112,0,1,1,Panthers,304,33,6.0,DST,140,2.0,0,Patriots,444,0,4,2017
146,146,146,0,0,0,Buccaneers,319,14,6.0,DST,90,2.0,0,Patriots,409,0,5,2017
162,162,162,0,1,2,Jets,334,17,14.0,DST,74,4.0,0,Patriots,408,0,6,2017
191,191,191,1,0,0,Falcons,223,7,10.0,DST,120,1.0,0,Patriots,343,0,7,2017
220,220,220,1,0,1,Chargers,192,13,14.0,DST,157,1.0,1,Patriots,349,0,8,2017
267,267,267,1,1,1,Broncos,221,16,16.0,DST,118,0.0,0,Patriots,339,1,10,2017
301,301,301,0,1,1,Raiders,235,8,12.0,DST,109,1.0,0,Patriots,344,0,11,2017
323,323,323,0,1,2,Dolphins,154,17,17.0,DST,67,7.0,0,Patriots,221,0,12,2017
357,357,357,0,0,1,Bills,85,3,16.0,DST,183,4.0,0,Patriots,268,0,13,2017
