,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
46,46,46.0,0.0,3.0,2.0,Jake Elliott,Chiefs,8.0,K,2,2.0,2.0,2017.0
72,72,46.0,0.0,3.0,2.0,Jake Elliott,Eagles,8.0,K,3,2.0,2.0,2017.0
99,99,59.0,0.5,3.0,2.0,Jake Elliott,Chargers,9.5,K,4,2.5,2.5,2017.0
137,137,72.33333333333333,0.6666666666666666,3.3333333333333335,2.6666666666666665,Jake Elliott,Eagles,11.666666666666666,K,5,2.3333333333333335,2.3333333333333335,2017.0
167,167,88.5,0.5,3.0,2.5,Jake Elliott,Panthers,11.25,K,6,2.75,2.75,2017.0
195,195,104.2,0.6,2.8,2.4,Jake Elliott,Eagles,11.0,K,7,2.6,2.6,2017.0
226,226,119.33333333333333,0.6666666666666666,2.8333333333333335,2.3333333333333335,Jake Elliott,Eagles,11.166666666666666,K,8,2.8333333333333335,2.8333333333333335,2017.0
249,249,134.57142857142858,0.7142857142857143,2.7142857142857144,2.2857142857142856,Jake Elliott,Eagles,10.857142857142858,K,9,2.857142857142857,2.5714285714285716,2017.0
323,323,148.875,0.625,2.5,2.125,Jake Elliott,Cowboys,10.625,K,11,3.375,3.0,2017.0
342,342,168.22222222222223,0.5555555555555556,2.3333333333333335,1.8888888888888888,Jake Elliott,Eagles,9.555555555555555,K,12,3.111111111111111,2.7777777777777777,2017.0
382,382,185.6,0.5,2.2,1.8,Jake Elliott,Steelers,9.3,K,13,3.2,2.9,2017.0
