,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,25,25,0,1,0,Stephen Hauschka,Bills,3.0,K,1,3,3,2017,8,8,0,0,2,Jets,176,12,12.0,DST,38,1.0,0,Bills,214,0
1,59,59,0,1,1,Stephen Hauschka,Panthers,3.0,K,2,0,0,2017,38,38,0,0,0,Bills,107,3,13.0,DST,69,3.0,0,Panthers,176,0
2,65,65,2,4,4,Stephen Hauschka,Bills,18.0,K,3,2,2,2017,72,72,0,0,2,Broncos,255,16,11.0,DST,111,3.0,0,Bills,366,0
3,100,100,2,3,3,Stephen Hauschka,Falcons,15.0,K,4,2,2,2017,116,116,0,0,0,Bills,164,23,4.0,DST,117,3.0,0,Falcons,281,0
4,136,136,0,3,3,Stephen Hauschka,Bengals,10.0,K,5,1,1,2017,132,132,0,0,1,Bills,139,16,12.0,DST,82,6.0,0,Bengals,221,0
5,191,191,1,4,3,Stephen Hauschka,Bills,14.0,K,7,3,3,2017,194,194,0,2,1,Buccaneers,378,27,8.0,DST,69,1.0,0,Bills,447,0
6,225,225,0,2,2,Stephen Hauschka,Bills,10.0,K,8,4,4,2017,217,217,0,2,2,Raiders,313,14,18.0,DST,54,0.0,0,Bills,367,1
7,264,264,0,0,0,Stephen Hauschka,Jets,3.0,K,9,3,3,2017,243,243,0,3,0,Bills,244,21,14.0,DST,63,7.0,0,Jets,307,0
8,290,290,0,1,1,Stephen Hauschka,Bills,4.0,K,10,1,1,2017,289,289,0,1,0,Saints,184,47,2.0,DST,298,0.0,0,Bills,482,0
9,310,310,1,1,1,Stephen Hauschka,Chargers,8.0,K,11,3,3,2017,294,294,0,1,5,Bills,220,24,26.0,DST,173,1.0,0,Chargers,393,2
10,329,329,1,4,3,Stephen Hauschka,Chiefs,12.0,K,12,1,1,2017,342,342,0,0,0,Bills,164,16,6.0,DST,104,2.0,0,Chiefs,268,0
11,384,384,0,1,1,Stephen Hauschka,Bills,3.0,K,13,0,0,2017,367,367,0,0,1,Patriots,244,23,6.0,DST,191,3.0,0,Bills,435,0
