,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
2,2,2,0,4,4,Wil Lutz,Vikings,13.0,K,1,1,1,2017
45,45,45,0,3,2,Wil Lutz,Saints,8.0,K,2,2,2,2017
69,69,69,1,3,2,Wil Lutz,Panthers,12.0,K,3,4,4,2017
110,110,110,0,3,2,Wil Lutz,Dolphins,8.0,K,4,2,2,2017
166,166,166,0,1,1,Wil Lutz,Saints,10.0,K,6,7,7,2017
200,200,200,0,2,2,Wil Lutz,Packers,8.0,K,7,3,2,2017
227,227,227,0,2,2,Wil Lutz,Saints,8.0,K,8,2,2,2017
256,256,256,0,2,1,Wil Lutz,Saints,6.0,K,9,4,3,2017
271,271,271,1,2,2,Wil Lutz,Bills,13.0,K,10,6,5,2017
301,301,301,1,4,4,Wil Lutz,Saints,16.0,K,11,2,2,2017
332,332,332,1,2,2,Wil Lutz,Rams,10.0,K,12,2,2,2017
373,373,373,0,2,1,Wil Lutz,Saints,7.0,K,13,4,4,2017
