Year,Week,Team,Sack,Pass Yards Allowed,Point After,Safety,Points,Touchdowns,Rush Yards Allowed,Interception,Total Yards,Blocks,Away Games,Fumble Returns,Opponent,Position
2013,1,Cowboys,81.0,33556377856.0,923521.0,0.0,531441.0,16.0,6250000.0,81.0,52204938256.0,0.0,0.0,81.0,Giants,DST
2013,1,Chiefs,1296.0,131079601.0,16.0,0.0,456976.0,1.0,25411681.0,16.0,1003875856.0,0.0,1.0,0.0,Jaguars,DST
2013,1,Dolphins,1296.0,3544535296.0,10000.0,0.0,130321.0,0.0,4879681.0,81.0,7170871761.0,0.0,1.0,0.0,Browns,DST
2013,1,Bills,81.0,5554571841.0,279841.0,0.0,65536.0,1.0,623201296.0,1.0,34507149121.0,0.0,0.0,16.0,Patriots,DST
2013,1,Titans,625.0,705911761.0,6561.0,0.0,65536.0,0.0,923521.0,1.0,1416468496.0,0.0,1.0,1.0,Steelers,DST
2013,1,Jets,81.0,1171350625.0,83521.0,1.0,28561.0,0.0,17850625.0,1.0,3906250000.0,0.0,0.0,1.0,Buccaneers,DST
2013,1,Buccaneers,625.0,2097273616.0,104976.0,0.0,28561.0,0.0,65610000.0,1.0,8540717056.0,0.0,1.0,1.0,Jets,DST
2013,1,Redskins,81.0,1049760000.0,1185921.0,0.0,28561.0,1.0,4784350561.0,0.0,38513670001.0,0.0,0.0,16.0,Eagles,DST
2013,1,Lions,81.0,2562890625.0,331776.0,0.0,20736.0,0.0,121550625.0,81.0,11859210000.0,0.0,0.0,1.0,Min,DST
2013,1,Eagles,81.0,8999178496.0,531441.0,1.0,20736.0,0.0,29986576.0,16.0,21293813776.0,0.0,1.0,1.0,Redskins,DST
2013,1,Seahawks,1.0,200533921.0,2401.0,0.0,20736.0,0.0,322417936.0,0.0,4097152081.0,0.0,1.0,16.0,Panthers,DST
2013,1,Cardinals,0.0,7992538801.0,531441.0,0.0,14641.0,1.0,20151121.0,1.0,17944209936.0,0.0,1.0,1.0,Rams,DST
2013,1,Panthers,16.0,8100000000.0,20736.0,0.0,14641.0,0.0,24010000.0,0.0,18741610000.0,0.0,0.0,1.0,Seahawks,DST
