Year,Week,Name,50+,Points,FGA,XPM,XPA,Away Games,FGM,Opponent,Position
2011,1,David Akers,0.0,225.0,16.0,9.0,9.0,0.0,16.0,Seahawks,K
2011,1,Sebastian Janikowski,1.0,169.0,9.0,4.0,4.0,1.0,9.0,Broncos,K
2011,1,Robbie Gould,0.0,144.0,9.0,9.0,9.0,0.0,9.0,Falcons,K
2011,1,Rian Lindell,0.0,121.0,4.0,25.0,25.0,1.0,4.0,Chiefs,K
2011,1,Nick Folk,1.0,121.0,4.0,9.0,9.0,0.0,4.0,Cowboys,K
2011,1,Josh Scobee,0.0,100.0,9.0,1.0,1.0,0.0,9.0,Titans,K
2011,1,Neil Rackers,0.0,100.0,4.0,16.0,16.0,0.0,4.0,Colts,K
2011,1,John Kasay,0.0,100.0,4.0,16.0,16.0,1.0,4.0,Packers,K
2011,1,Mike Nugent,0.0,81.0,4.0,9.0,9.0,1.0,4.0,Browns,K
2011,1,Jason Hanson,0.0,81.0,4.0,9.0,9.0,1.0,4.0,Buccaneers,K
2011,1,Billy Cundiff,0.0,81.0,4.0,9.0,9.0,0.0,4.0,Steelers,K
2011,1,Matt Prater,0.0,64.0,9.0,4.0,4.0,0.0,4.0,Raiders,K
2011,1,Stephen Gostkowski,0.0,64.0,4.0,25.0,25.0,1.0,1.0,Dolphins,K
2011,1,Connor Barth,0.0,64.0,4.0,4.0,4.0,0.0,4.0,Lions,K
2011,1,Alex Henery,0.0,49.0,1.0,16.0,16.0,1.0,1.0,Rams,K
2011,1,Josh Brown,0.0,49.0,9.0,1.0,1.0,0.0,4.0,Eagles,K
2011,1,Mike Scifres,0.0,36.0,1.0,9.0,9.0,0.0,1.0,Min,K
2011,1,Mason Crosby,0.0,36.0,0.0,36.0,36.0,0.0,0.0,Saints,K
2011,1,Dan Carpenter,0.0,36.0,1.0,9.0,9.0,0.0,1.0,Patriots,K
2011,1,Matt Bryant,0.0,36.0,4.0,0.0,0.0,1.0,4.0,Bears,K
2011,1,Dan Bailey,0.0,36.0,1.0,9.0,9.0,1.0,1.0,Jets,K
2011,1,Ryan Longwell,0.0,25.0,1.0,4.0,4.0,1.0,1.0,Chargers,K
2011,1,Stephen Hauschka,0.0,25.0,1.0,4.0,4.0,1.0,1.0,49ers,K
2011,1,Phil Dawson,0.0,25.0,1.0,4.0,4.0,0.0,1.0,Bengals,K
2011,1,Graham Gano,0.0,16.0,1.0,16.0,16.0,0.0,0.0,Giants,K
2011,1,Jay Feely,0.0,16.0,1.0,16.0,16.0,0.0,0.0,Panthers,K
2011,1,Olindo Mare,0.0,9.0,0.0,9.0,9.0,1.0,0.0,Cardinals,K
2011,1,Lawrence Tynes,0.0,4.0,1.0,4.0,4.0,1.0,0.0,Redskins,K
2011,1,Sam Koch,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Steelers,K
2011,1,Rob Bironas,0.0,4.0,1.0,4.0,4.0,1.0,0.0,Jaguars,K
2011,1,Adam Vinatieri,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Texans,K
2011,1,Shaun Suisham,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Ravens,K
2011,1,Ryan Succop,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Bills,K
2011,2,Adam Vinatieri,1.0,225.0,16.0,1.0,1.0,0.0,16.0,Browns,K
2011,2,John Kasay,1.0,196.0,9.0,9.0,9.0,0.0,9.0,Bears,K
2011,2,Jason Hanson,1.0,196.0,4.0,36.0,36.0,0.0,4.0,Chiefs,K
2011,2,Rob Bironas,0.0,196.0,25.0,4.0,4.0,0.0,16.0,Ravens,K
2011,2,Nick Folk,0.0,144.0,9.0,9.0,9.0,0.0,9.0,Jaguars,K
2011,2,Mason Crosby,0.0,144.0,9.0,9.0,9.0,1.0,9.0,Panthers,K
2011,2,Neil Rackers,0.0,121.0,9.0,4.0,4.0,1.0,9.0,Dolphins,K
2011,2,Olindo Mare,0.0,121.0,9.0,4.0,4.0,0.0,9.0,Packers,K
2011,2,Mike Nugent,0.0,100.0,9.0,1.0,1.0,1.0,9.0,Broncos,K
2011,2,Graham Gano,0.0,100.0,16.0,1.0,1.0,0.0,9.0,Cardinals,K
2011,2,Josh Brown,0.0,100.0,9.0,1.0,1.0,1.0,9.0,Giants,K
2011,2,Stephen Gostkowski,0.0,81.0,4.0,9.0,9.0,0.0,4.0,Chargers,K
2011,2,Phil Dawson,0.0,81.0,4.0,9.0,9.0,1.0,4.0,Colts,K
2011,2,Dan Bailey,0.0,81.0,9.0,9.0,9.0,1.0,4.0,49ers,K
2011,2,Ryan Longwell,0.0,64.0,4.0,4.0,4.0,0.0,4.0,Buccaneers,K
2011,2,Rian Lindell,0.0,64.0,4.0,25.0,25.0,0.0,1.0,Raiders,K
2011,2,David Akers,1.0,64.0,1.0,9.0,9.0,0.0,1.0,Cowboys,K
2011,2,Alex Henery,0.0,49.0,4.0,16.0,16.0,1.0,1.0,Falcons,K
2011,2,Robbie Gould,0.0,49.0,4.0,1.0,1.0,1.0,4.0,Saints,K
2011,2,Billy Cundiff,0.0,49.0,4.0,1.0,1.0,1.0,4.0,Titans,K
2011,2,Dan Carpenter,0.0,49.0,16.0,1.0,1.0,0.0,4.0,Texans,K
2011,2,Shaun Suisham,0.0,36.0,4.0,9.0,9.0,0.0,1.0,Seahawks,K
2011,2,Matt Prater,0.0,36.0,1.0,9.0,9.0,0.0,1.0,Bengals,K
2011,2,Connor Barth,0.0,36.0,1.0,9.0,9.0,1.0,1.0,Min,K
2011,2,Josh Scobee,1.0,25.0,1.0,0.0,0.0,1.0,1.0,Jets,K
2011,2,Sebastian Janikowski,0.0,25.0,0.0,25.0,25.0,1.0,0.0,Bills,K
2011,2,Matt Bryant,0.0,25.0,0.0,25.0,25.0,0.0,0.0,Eagles,K
2011,2,Lawrence Tynes,0.0,16.0,0.0,16.0,16.0,0.0,0.0,Rams,K
2011,2,Ryan Succop,0.0,9.0,4.0,0.0,0.0,1.0,1.0,Lions,K
2011,2,Nick Novak,0.0,9.0,0.0,9.0,9.0,1.0,0.0,Patriots,K
2011,2,Jay Feely,0.0,9.0,0.0,9.0,9.0,1.0,0.0,Redskins,K
2011,3,Dan Bailey,0.0,324.0,36.0,0.0,0.0,0.0,36.0,Redskins,K
2011,3,Jason Hanson,1.0,256.0,16.0,4.0,4.0,1.0,16.0,Min,K
2011,3,Neil Rackers,0.0,225.0,16.0,9.0,9.0,1.0,16.0,Saints,K
2011,3,Billy Cundiff,0.0,169.0,25.0,16.0,16.0,1.0,9.0,Rams,K
2011,3,Sebastian Janikowski,1.0,144.0,9.0,16.0,16.0,0.0,4.0,Jets,K
2011,3,Graham Gano,1.0,144.0,16.0,1.0,1.0,1.0,9.0,Cowboys,K
2011,3,Shaun Suisham,0.0,121.0,16.0,4.0,4.0,1.0,9.0,Colts,K
2011,3,Ryan Longwell,0.0,121.0,9.0,4.0,4.0,0.0,9.0,Lions,K
2011,3,Rian Lindell,0.0,100.0,4.0,16.0,16.0,0.0,4.0,Patriots,K
2011,3,Alex Henery,0.0,100.0,9.0,1.0,1.0,0.0,9.0,Giants,K
2011,3,Dan Carpenter,0.0,100.0,16.0,1.0,1.0,1.0,9.0,Browns,K
