,Fumble TD,Fumbles Lost,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Position,Fumble TD M2E,Fumble TD EV,Fumbles Lost M2E,Fumbles Lost EV,Pass 2PT M2E,Pass 2PT EV,Pass Attempts M2E,Pass Attempts EV,Pass Completions M2E,Pass Completions EV,Pass Interceptions M2E,Pass Interceptions EV,Pass TD M2E,Pass TD EV,Pass Yards M2E,Pass Yards EV,Receiving 2PT M2E,Receiving 2PT EV,Receiving TD M2E,Receiving TD EV,Receiving Yards M2E,Receiving Yards EV,Receptions M2E,Receptions EV,Rush 2PT M2E,Rush 2PT EV,Rush Attempts M2E,Rush Attempts EV,Rush TD M2E,Rush TD EV,Rush Yards M2E,Rush Yards EV
DuJuan Harris,0.0,0.0526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21293114351.4,13797.6315789,0.0,2768344.68421,0.105263157895,13034863018.8,"3680     RB
3754     RB
3858     RB
4184     RB
4270     RB
4383     RB
7542     RB
7664     RB
7726     RB
7816     RB
8954     RB
9010     RB
9168     RB
9232     RB
11838    RB
11897    RB
12022    RB
12111    RB
12187    RB
Name: Position, dtype: object",0.0,1.0,0.002770083102493074,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1111111111111111,0.0,5.6116326839724094e+29,0.0,2699228957782.546,0.0,0.0,1.0,7663732290596.679,0.0,0.01108033240997584,0.0,1.6990765391997708e+20,0.0
Mike Gillislee,0.0,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806593.5,21.6666666667,0.0,31959697.8333,0.5,155807168655.0,"6062    RB
8911    RB
8982    RB
9056    RB
9146    RB
9297    RB
Name: Position, dtype: object",0.0,1.0,0.027777777777777804,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1111111111111111,0.0,5.6119516634368135e+29,0.0,2744684710681.001,0.0,0.0,1.0,1021422285597970.6,0.0,0.2499999999999984,0.0,2.427587380439149e+22,0.0
MarQueis Gray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139678500.308,24.0,0.0,1.53846153846,0.0,63097.9230769,"4007    RB
4608    RB
4843    RB
4914    RB
4996    RB
5513    RB
5615    RB
5693    RB
5765    RB
6171    RB
6226    RB
6428    RB
8238    RB
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1111111111111111,0.0,5.61194961274105e+29,0.0,2744676979377.779,0.0,0.0,1.0,2.366863905325444,0.0,0.0,1.0,3981347896.621302,0.0
Josh Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Hoyer,0.0,0.0810810810811,0.0,889617845.946,38322804.0811,11.7297297297,76.3783783784,9.31581884682e+13,0.0,0.0,0.0,0.0,0.0,514.594594595,0.0,893856.27027,"560     QB
590     QB
632     QB
723     QB
758     QB
783     QB
816     QB
854     QB
934     QB
985     QB
1015    QB
1071    QB
1183    QB
1227    QB
1259    QB
1291    QB
1351    QB
1404    QB
1445    QB
1467    QB
1496    QB
1542    QB
1565    QB
1605    QB
1642    QB
1680    QB
1747    QB
1873    QB
1911    QB
1965    QB
2788    QB
2987    QB
3131    QB
3302    QB
3477    QB
3553    QB
3577    QB
Name: Position, dtype: object",0.0,1.0,0.006574141709276845,0.0,0.0,1.0,7.914199118255046e+17,0.0,1468637312636924.2,0.0,137.58655953250548,0.0,5833.656683710739,0.0,8.678448078669749e+27,0.0,0.0,1.0,0.11111111111111112,0.0,5.61195170548686e+29,0.0,2744756501873.779,0.0,0.0,1.0,264807.5967859751,0.0,0.0,1.0,798979031901.4784,0.0
Theo Riddick,0.0,0.0285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,11605334276.2,47885.2,0.0,8608.28571429,0.0285714285714,17521607.8571,"3673    RB
3759    RB
3836    RB
3930    RB
4036    RB
4204    RB
4377    RB
4468    RB
4537    RB
4611    RB
4838    RB
4911    RB
4959    RB
5275    RB
5689    RB
6077    RB
6151    RB
6247    RB
6290    RB
7904    RB
8024    RB
8098    RB
8205    RB
8265    RB
8350    RB
8441    RB
8527    RB
8674    RB
8726    RB
8793    RB
8923    RB
8996    RB
9101    RB
9164    RB
9284    RB
Name: Position, dtype: object",0.0,1.0,0.0008163265306122448,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01777777777777777,0.0,5.611777828843207e+29,0.0,2588383735613.886,0.0,0.0,1.0,74102582.9387755,0.0,0.0008163265306122448,0.0,307006741899490.3,0.0
Jamaal Charles,0.0,1.17391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34782608696,1895954280.7,1535.07246377,0.0,1880244.47826,12.3043478261,61206263165.5,"3662     RB
3772     RB
3867     RB
3963     RB
4114     RB
4196     RB
4285     RB
4354     RB
4428     RB
4513     RB
4597     RB
4673     RB
4798     RB
4885     RB
4984     RB
5036     RB
5119     RB
5201     RB
5299     RB
5382     RB
5455     RB
5549     RB
5640     RB
5722     RB
5865     RB
5922     RB
6011     RB
6091     RB
6176     RB
6262     RB
         ..
7280     RB
7375     RB
7444     RB
7521     RB
7667     RB
7702     RB
7823     RB
7889     RB
7979     RB
8072     RB
8175     RB
8278     RB
9318     RB
9439     RB
9514     RB
9694     RB
9767     RB
9835     RB
9905     RB
9991     RB
10055    RB
10144    RB
10213    RB
10322    RB
10433    RB
10488    RB
10572    RB
10675    RB
10788    RB
10916    RB
Name: Position, Length: 69, dtype: object",0.0,1.0,1.3780718336483935,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,16.116152068893097,0.0,5.611923299213039e+29,0.0,2739672455068.6875,0.0,0.0,1.0,3535319298030.4897,0.0,151.3969754253309,0.0,3.7462066506800064e+21,0.0
Christine Michael,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370401.52381,3.14285714286,0.0,1954665.42857,0.0,70448489518.5,"4180    RB
4254    RB
4329    RB
4371    RB
4494    RB
4636    RB
4715    RB
4839    RB
4902    RB
5020    RB
5250    RB
5808    RB
5909    RB
8233    RB
8317    RB
8466    RB
8539    RB
8696    RB
9070    RB
9203    RB
9244    RB
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.11111111111111113,0.0,5.611951699937285e+29,0.0,2744746088148.0366,-5.063162863538227e+31,0.0,1.0,3820716937652.327,0.0,0.0,1.0,4.962989675441557e+21,0.0
Tyler Ervin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Wentz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
