,Touchdowns,Blocks,Year,Sack,Away Games,Point After,Total Yards,Week,Points,Interception,Safety,Fumble Returns,Pass Yards Allowed,Rush Yards Allowed,Team,Opponent,Position
0,0.955594547510617,-0.067557694698463,2013,-0.06582137290546074,-1.0,-0.13434388731450697,-0.1756000218396389,1,-0.04264829548074497,-0.019462997052027777,-0.18210906878047933,0.31295454811766765,-0.12399030101960404,-0.07854333318857107,Cowboys,Giants,DST
1,-0.018167472205643787,-0.067557694698463,2013,-0.05439938254948151,1.0,-0.13437572076889776,-0.17560006018244464,1,-0.042685133464806874,-0.032292571181906364,-0.18210906878047933,-0.10507080036004147,-0.12399044791891671,-0.07854333041149855,Chiefs,Jaguars,DST
2,-0.08308494018672784,-0.067557694698463,2013,-0.05439938254948151,1.0,-0.13437537661785512,-0.17560005556418254,1,-0.042846730345002165,-0.019462997052027777,-0.18210906878047933,-0.10507080036004147,-0.12399043291727659,-0.07854333338716926,Dolphins,Browns,DST
3,-0.018167472205643787,-0.067557694698463,2013,-0.06582137290546074,-1.0,-0.13436607512932364,-0.175600035092936,1,-0.04287877961375192,-0.035253242134955266,-0.18210906878047933,-0.022497892018765595,-0.12399042408345902,-0.07854324377478308,Bills,Patriots,DST
4,-0.08308494018672784,-0.067557694698463,2013,-0.06070732948681654,1.0,-0.13437549516106784,-0.17560005987346747,1,-0.04287877961375192,-0.035253242134955266,-0.18210906878047933,-0.09990999358871173,-0.12399044539261318,-0.07854333396052934,Titans,Steelers,DST
5,-0.08308494018672784,-0.067557694698463,2013,-0.06582137290546074,-1.0,-0.1343728423301141,-0.17560005800895132,1,-0.04289707122001915,-0.035253242134955266,4.997882220975377,-0.09990999358871173,-0.12399044334707722,-0.07854333150731059,Jets,Buccaneers,DST
6,-0.08308494018672784,-0.067557694698463,2013,-0.06070732948681654,1.0,-0.13437210277075715,-0.1756000545383501,1,-0.04289707122001915,-0.035253242134955266,-0.18210906878047933,-0.09990999358871173,-0.12399043927778067,-0.07854332458561895,Buccaneers,Jets,DST
7,-0.018167472205643787,-0.067557694698463,2013,-0.06582137290546074,-1.0,-0.1343348423191554,-0.17560003209258318,1,-0.04289707122001915,-0.035450620198491864,-0.18210906878047933,-0.022497892018765595,-0.1239904438814503,-0.07854264070591765,Redskins,Eagles,DST
8,-0.08308494018672784,-0.067557694698463,2013,-0.06582137290546074,-1.0,-0.1343642849165432,-0.17560005205323895,1,-0.04290094226313047,-0.019462997052027777,-0.18210906878047933,-0.09990999358871173,-0.1239904372314618,-0.07854331647823153,Lions,Min,DST
9,-0.08308494018672784,-0.067557694698463,2013,-0.06582137290546074,1.0,-0.13435740241274416,-0.17560004498797188,1,-0.04290094226313047,-0.032292571181906364,4.997882220975377,-0.09990999358871173,-0.12399040894491496,-0.07854332974846617,Eagles,Redskins,DST
