,Points,50+,XPM,XPA,FGM,Year,Week,FGA,Away Games,Name,Opponent,Position
0,-0.09643230569480774,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.08628747101512328,2011,1,-0.10311411148341025,-0.9967284536091449,David Akers,Seahawks,K
1,-0.09643352585092119,-0.00514889016646596,-0.10260361161954712,-0.11394073342028839,-0.08744684009914684,2011,1,-0.10375699749775871,1.0032822845369858,Sebastian Janikowski,Broncos,K
2,-0.09643407056347182,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.08744684009914684,2011,1,-0.10375699749775871,-0.9967284536091449,Robbie Gould,Falcons,K
3,-0.09643457169901842,-0.03247531884704328,-0.1015075855857032,-0.11289599549256063,-0.08827496087344938,2011,1,-0.1042162017937219,1.0032822845369858,Rian Lindell,Chiefs,K
4,-0.09643457169901842,-0.00514889016646596,-0.10234265304006047,-0.11369198629463893,-0.08827496087344938,2011,1,-0.1042162017937219,-0.9967284536091449,Nick Folk,Cowboys,K
5,-0.09643502925756096,-0.03247531884704328,-0.10276018676723911,-0.11408998169567808,-0.08744684009914684,2011,1,-0.10375699749775871,-0.9967284536091449,Josh Scobee,Titans,K
6,-0.09643502925756096,-0.03247531884704328,-0.10197731102877916,-0.11334374031872968,-0.08827496087344938,2011,1,-0.1042162017937219,-0.9967284536091449,Neil Rackers,Colts,K
7,-0.09643502925756096,-0.03247531884704328,-0.10197731102877916,-0.11334374031872968,-0.08827496087344938,2011,1,-0.1042162017937219,1.0032822845369858,John Kasay,Packers,K
8,-0.09643544323909946,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.08827496087344938,2011,1,-0.1042162017937219,1.0032822845369858,Mike Nugent,Browns,K
9,-0.09643544323909946,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.08827496087344938,2011,1,-0.1042162017937219,1.0032822845369858,Jason Hanson,Buccaneers,K
10,-0.09643544323909946,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.08827496087344938,2011,1,-0.1042162017937219,-0.9967284536091449,Billy Cundiff,Steelers,K
11,-0.09643581364363389,-0.03247531884704328,-0.10260361161954712,-0.11394073342028839,-0.08827496087344938,2011,1,-0.10375699749775871,-0.9967284536091449,Matt Prater,Raiders,K
12,-0.09643581364363389,-0.03247531884704328,-0.1015075855857032,-0.11289599549256063,-0.0887718333380309,2011,1,-0.1042162017937219,1.0032822845369858,Stephen Gostkowski,Dolphins,K
13,-0.09643581364363389,-0.03247531884704328,-0.10260361161954712,-0.11394073342028839,-0.08827496087344938,2011,1,-0.1042162017937219,-0.9967284536091449,Connor Barth,Lions,K
14,-0.09643614047116428,-0.03247531884704328,-0.10197731102877916,-0.11334374031872968,-0.0887718333380309,2011,1,-0.10449172437129982,1.0032822845369858,Alex Henery,Rams,K
15,-0.09643614047116428,-0.03247531884704328,-0.10276018676723911,-0.11408998169567808,-0.08827496087344938,2011,1,-0.10375699749775871,-0.9967284536091449,Josh Brown,Eagles,K
16,-0.09643642372169062,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.0887718333380309,2011,1,-0.10449172437129982,-0.9967284536091449,Mike Scifres,Min,K
17,-0.09643642372169062,-0.03247531884704328,-0.10093347671083258,-0.11234875181613181,-0.0889374574928914,2011,1,-0.10458356523049245,-0.9967284536091449,Mason Crosby,Saints,K
18,-0.09643642372169062,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.0887718333380309,2011,1,-0.10449172437129982,-0.9967284536091449,Dan Carpenter,Patriots,K
19,-0.09643642372169062,-0.03247531884704328,-0.10281237848313643,-0.11413973112080797,-0.08827496087344938,2011,1,-0.1042162017937219,1.0032822845369858,Matt Bryant,Bears,K
20,-0.09643642372169062,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.0887718333380309,2011,1,-0.10449172437129982,1.0032822845369858,Dan Bailey,Jets,K
21,-0.09643666339521291,-0.03247531884704328,-0.10260361161954712,-0.11394073342028839,-0.0887718333380309,2011,1,-0.10449172437129982,1.0032822845369858,Ryan Longwell,Chargers,K
22,-0.09643666339521291,-0.03247531884704328,-0.10260361161954712,-0.11394073342028839,-0.0887718333380309,2011,1,-0.10449172437129982,1.0032822845369858,Stephen Hauschka,49ers,K
23,-0.09643666339521291,-0.03247531884704328,-0.10260361161954712,-0.11394073342028839,-0.0887718333380309,2011,1,-0.10449172437129982,-0.9967284536091449,Phil Dawson,Bengals,K
24,-0.09643685949173114,-0.03247531884704328,-0.10197731102877916,-0.11334374031872968,-0.0889374574928914,2011,1,-0.10449172437129982,-0.9967284536091449,Graham Gano,Giants,K
25,-0.09643685949173114,-0.03247531884704328,-0.10197731102877916,-0.11334374031872968,-0.0889374574928914,2011,1,-0.10449172437129982,-0.9967284536091449,Jay Feely,Panthers,K
26,-0.09643701201124531,-0.03247531884704328,-0.10234265304006047,-0.11369198629463893,-0.0889374574928914,2011,1,-0.10458356523049245,1.0032822845369858,Olindo Mare,Cardinals,K
27,-0.09643712095375545,-0.03247531884704328,-0.10260361161954712,-0.11394073342028839,-0.0889374574928914,2011,1,-0.10449172437129982,1.0032822845369858,Lawrence Tynes,Redskins,K
28,-0.09643712095375545,-0.03247531884704328,-0.10281237848313643,-0.11413973112080797,-0.0889374574928914,2011,1,-0.10458356523049245,-0.9967284536091449,Sam Koch,Steelers,K
29,-0.09643712095375545,-0.03247531884704328,-0.10260361161954712,-0.11394073342028839,-0.0889374574928914,2011,1,-0.10449172437129982,1.0032822845369858,Rob Bironas,Jaguars,K
30,-0.09643718631926153,-0.03247531884704328,-0.10276018676723911,-0.11408998169567808,-0.0889374574928914,2011,1,-0.10449172437129982,1.0032822845369858,Adam Vinatieri,Texans,K
