,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
16,16,16.0,0.0,0.0,LeGarrette Blount,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,10.0,RB,0.0,1.0,1.0,1.0,0.0,14.0,0.0,46.0,1,2017.0
170,170,16.0,0.0,0.0,LeGarrette Blount,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,10.0,RB,0.0,1.0,1.0,1.0,0.0,14.0,0.0,46.0,2,2017.0
185,185,93.0,0.0,0.0,LeGarrette Blount,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,5.0,RB,0.0,0.5,0.5,1.0,0.0,7.0,0.0,23.0,3,2017.0
271,271,123.66666666666667,0.0,0.0,LeGarrette Blount,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,RB,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,8.666666666666666,0.3333333333333333,37.666666666666664,4,2017.0
383,383,160.5,0.0,0.0,LeGarrette Blount,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,9.25,RB,0.0,0.25,5.25,0.75,0.0,10.5,0.25,62.25,5,2017.0
459,459,205.0,0.0,0.0,LeGarrette Blount,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,8.8,RB,0.0,0.2,4.2,0.6,0.0,11.2,0.2,64.6,6,2017.0
566,566,247.33333333333334,0.0,0.0,LeGarrette Blount,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,RB,0.0,0.16666666666666666,3.5,0.5,0.16666666666666666,11.666666666666666,0.16666666666666666,65.0,7,2017.0
609,609,292.85714285714283,0.0,0.0,LeGarrette Blount,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,7.714285714285714,RB,0.0,0.14285714285714285,3.0,0.42857142857142855,0.14285714285714285,12.0,0.14285714285714285,59.857142857142854,8,2017.0
703,703,332.375,0.0,0.0,LeGarrette Blount,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,8.0,RB,0.0,0.125,3.125,0.5,0.125,12.5,0.25,58.375,9,2017.0
850,850,373.55555555555554,0.0,0.0,LeGarrette Blount,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,7.444444444444445,RB,0.0,0.1111111111111111,2.7777777777777777,0.4444444444444444,0.1111111111111111,12.11111111111111,0.2222222222222222,56.0,11,2017.0
922,922,421.2,0.0,0.0,LeGarrette Blount,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,7.2,RB,0.0,0.1,2.5,0.4,0.1,12.2,0.2,56.1,12,2017.0
1039,1039,466.72727272727275,0.0,0.09090909090909091,LeGarrette Blount,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,7.2727272727272725,RB,0.0,0.09090909090909091,2.272727272727273,0.36363636363636365,0.09090909090909091,12.454545454545455,0.18181818181818182,59.81818181818182,13,2017.0
