,Fumble TD,Receiving 2PT,Year,Points,Rush TD,Pass Yards,Receptions,Rush Yards,Week,Fumbles Lost,Receiving TD,Pass Completions,Pass 2PT,Pass Attempts,Pass Interceptions,Away Games,Pass TD,Rush 2PT,Rush Attempts,Receiving Yards,Name,Opponent,Position
4274,0.0,0.0,2015,594823321.0,64.0,0.0,64.0,22483074023424.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308915776.0,7529536.0,Carlos Hyde,Min,RB
4275,0.0,0.0,2015,113379904.0,1.0,0.0,15625.0,7858047974841.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191102976.0,244140625.0,Matt Forte,Packers,RB
4276,0.0,0.0,2015,85766121.0,64.0,0.0,1.0,567869252041.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64000000.0,531441.0,Chris Ivory,Browns,RB
4277,0.0,0.0,2015,64000000.0,1.0,0.0,64.0,164206490176.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2985984.0,2985984.0,Bishop Sankey,Buccaneers,RB
4278,0.0,0.0,2015,34012224.0,64.0,0.0,0.0,62523502209.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47045881.0,0.0,Jeremy Hill,Raiders,RB
4279,0.0,0.0,2015,24137569.0,64.0,0.0,729.0,6321363049.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4826809.0,47045881.0,Danny Woodhead,Lions,RB
4280,0.0,0.0,2015,11390625.0,1.0,0.0,64.0,377149515625.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47045881.0,7529536.0,Eddie Lacy,Bears,RB
4281,0.0,0.0,2015,11390625.0,0.0,0.0,15625.0,34296447249.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16777216.0,9474296896.0,Jamaal Charles,Texans,RB
4282,0.0,0.0,2015,11390625.0,1.0,0.0,4096.0,15625000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,117649.0,7256313856.0,Ameer Abdullah,Chargers,RB
4283,0.0,0.0,2015,4826809.0,1.0,0.0,4096.0,531441.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,262144.0,1771561.0,DeMarco Murray,Falcons,RB
