,Fumble TD,Receiving 2PT,Year,Points,Rush TD,Pass Yards,Receptions,Rush Yards,Week,Fumbles Lost,Receiving TD,Pass Completions,Pass 2PT,Pass Attempts,Pass Interceptions,Away Games,Pass TD,Rush 2PT,Rush Attempts,Receiving Yards,Name,Opponent,Position
7110,0.0,0.0,2014,7962624.0,32.0,0.0,1.0,16105100000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200000.0,537824.0,Marshawn Lynch,Packers,RB
7111,0.0,0.0,2014,7962624.0,1.0,0.0,7776.0,15386239549.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4084101.0,5277319168.0,Le'Veon Bell,Browns,RB
7112,0.0,0.0,2014,2476099.0,1.0,0.0,0.0,43204003424.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962624.0,0.0,Knowshon Moreno,Patriots,RB
7113,0.0,0.0,2014,1889568.0,1.0,0.0,243.0,22877577568.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5153632.0,9765625.0,DeMarco Murray,49ers,RB
7114,0.0,0.0,2014,1889568.0,32.0,0.0,1.0,777600000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,371293.0,1.0,Mark Ingram,Falcons,RB
7115,0.0,0.0,2014,1048576.0,1.0,0.0,0.0,11040808032.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,Chris Ivory,Raiders,RB
7116,0.0,0.0,2014,1048576.0,0.0,0.0,32768.0,3707398432.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419857.0,4984209207.0,Matt Forte,Bills,RB
7117,0.0,0.0,2014,759375.0,1.0,0.0,1024.0,205962976.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1048576.0,312500000.0,Rashad Jennings,Lions,RB
7118,0.0,0.0,2014,759375.0,32.0,0.0,0.0,33554432.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3125.0,0.0,Isaiah Crowell,Steelers,RB
7119,0.0,0.0,2014,537824.0,1.0,0.0,1024.0,1804229351.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161051.0,537824.0,Darren Sproles,Jaguars,RB
7120,0.0,0.0,2014,537824.0,0.0,0.0,3125.0,1453933568.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371293.0,6436343.0,Chris Johnson,Raiders,RB
7121,0.0,0.0,2014,537824.0,1.0,0.0,3125.0,1680700000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161051.0,537824.0,Justin Forsett,Bengals,RB
7122,0.0,0.0,2014,371293.0,1.0,0.0,32.0,1350125107.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6436343.0,1048576.0,Montee Ball,Colts,RB
7123,0.0,0.0,2014,248832.0,1.0,0.0,3125.0,60466176.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16807.0,52521875.0,Shane Vereen,Dolphins,RB
7124,0.0,0.0,2014,248832.0,0.0,0.0,243.0,418195493.0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,759375.0,161051.0,C.J. Spiller,Bears,RB
