Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass Points,Pass TD,Pass Yards,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
0.0,0.0,Hakeem Nicks,Car,0.0,0.0,0.0,0.0,25.0,0.0,0.0,WR,0.0,3.0,75.0,4.0,0.0,0.0,0.0,75.0,1.0,2010.0
0.0,0.0,Chad Johnson,@NE,0.0,0.0,0.0,0.0,21.0,0.0,0.0,WR,0.0,1.0,159.0,12.0,0.0,0.0,0.0,159.0,1.0,2010.0
0.0,1.0,Austin Collie,@Hou,0.0,0.0,0.0,0.0,21.0,0.0,0.0,WR,0.0,1.0,163.0,11.0,0.0,0.0,0.0,163.0,1.0,2010.0
0.0,0.0,Miles Austin,@Was,0.0,0.0,0.0,0.0,20.0,0.0,0.0,WR,0.0,1.0,146.0,10.0,0.0,0.0,0.0,146.0,1.0,2010.0
0.0,0.0,Wes Welker,Cin,0.0,0.0,0.0,0.0,18.0,0.0,0.0,WR,0.0,2.0,64.0,8.0,0.0,0.0,0.0,64.0,1.0,2010.0
0.0,0.0,Legedu Naanee,@KC,0.0,0.0,0.0,0.0,17.0,0.0,0.0,WR,0.0,1.0,110.0,5.0,0.0,0.0,0.0,110.0,1.0,2010.0
0.0,0.0,Reggie Wayne,@Hou,0.0,0.0,0.0,0.0,15.0,0.0,0.0,WR,0.0,1.0,99.0,7.0,0.0,0.0,0.0,99.0,1.0,2010.0
0.0,0.0,Nate Washington,Oak,0.0,0.0,0.0,0.0,14.0,0.0,0.0,WR,0.0,1.0,88.0,3.0,0.0,0.0,0.0,88.0,1.0,2010.0
0.0,0.0,Greg Jennings,@Phi,0.0,0.0,0.0,0.0,14.0,0.0,0.0,WR,0.0,1.0,82.0,5.0,0.0,0.0,0.0,82.0,1.0,2010.0
0.0,0.0,Steve Smith,@NYG,0.0,0.0,0.0,0.0,13.0,0.0,0.0,WR,0.0,1.0,75.0,5.0,0.0,0.0,0.0,75.0,1.0,2010.0
0.0,0.0,Steve Breaston,@Stl,0.0,0.0,0.0,0.0,13.0,0.0,0.0,WR,0.0,0.0,132.0,7.0,0.0,0.0,0.0,132.0,1.0,2010.0
0.0,0.0,Roddy White,@Pit,0.0,0.0,0.0,0.0,11.0,0.0,0.0,WR,0.0,0.0,111.0,13.0,0.0,0.0,0.0,111.0,1.0,2010.0
0.0,0.0,Brandon Lloyd,@Jax,0.0,0.0,0.0,0.0,11.0,0.0,0.0,WR,0.0,0.0,117.0,5.0,0.0,0.0,0.0,117.0,1.0,2010.0
