50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,2,2,Jay Feely,@NE,8.0,K,2,2,2,2012
0,0,0,Tim Masthay,Chi,7.0,K,2,0,0,2012
0,2,2,Sebastian Janikowski,@Mia,7.0,K,2,1,1,2012
0,1,1,Alex Henery,Bal,6.0,K,2,3,3,2012
0,1,1,Ryan Succop,@Buf,5.0,K,2,2,2,2012
0,0,0,Justin Medlock,NO,5.0,K,2,5,5,2012
0,0,0,Rian Lindell,KC,5.0,K,2,5,5,2012
0,0,0,Dan Carpenter,Oak,5.0,K,2,5,5,2012
0,1,1,Robbie Gould,@GB,4.0,K,2,1,1,2012
0,1,1,Nick Folk,@Pit,4.0,K,2,1,1,2012
0,1,0,Billy Cundiff,@Stl,4.0,K,2,4,4,2012
0,1,1,Rob Bironas,@SD,4.0,K,2,1,1,2012
0,0,0,Matt Prater,@Atl,3.0,K,2,3,3,2012
0,0,0,Josh Scobee,Hou,1.0,K,2,1,1,2012
0,0,0,Dan Bailey,@Sea,1.0,K,2,1,1,2012
0,6,6,Ryan Succop,@NO,19.0,K,3,1,1,2012
0,5,5,Lawrence Tynes,@Car,18.0,K,3,3,3,2012
1,4,4,Jason Hanson,@Ten,17.0,K,3,3,3,2012
0,5,3,Rob Bironas,Det,14.0,K,3,5,5,2012
1,3,3,Matt Prater,Hou,13.0,K,3,2,2,2012
1,3,3,Robbie Gould,Stl,13.0,K,3,2,2,2012
0,3,3,Stephen Gostkowski,@Bal,12.0,K,3,3,3,2012
0,3,3,Nick Folk,@Mia,11.0,K,3,2,2,2012
0,3,3,Josh Scobee,@Ind,10.0,K,3,1,1,2012
0,2,2,Sebastian Janikowski,Pit,10.0,K,3,4,4,2012
0,3,3,Dan Bailey,TB,10.0,K,3,1,1,2012
0,2,2,Jay Feely,Phi,9.0,K,3,3,3,2012
1,2,2,Greg Zuerlein,@Chi,8.0,K,3,0,0,2012
1,1,1,Blair Walsh,SF,8.0,K,3,3,3,2012
0,1,1,Mike Nugent,@Was,8.0,K,3,5,5,2012
0,4,2,Dan Carpenter,NYJ,8.0,K,3,2,2,2012
0,1,1,Justin Tucker,NE,7.0,K,3,4,4,2012
0,1,1,Shaun Suisham,@Oak,7.0,K,3,4,4,2012
0,1,1,Shayne Graham,@Den,7.0,K,3,4,4,2012
0,1,1,Billy Cundiff,Cin,7.0,K,3,4,4,2012
0,3,2,David Akers,@Min,7.0,K,3,1,1,2012
0,1,1,Rian Lindell,@Cle,6.0,K,3,3,3,2012
0,2,2,Alex Henery,@Ari,6.0,K,3,0,0,2012
0,2,1,Garrett Hartley,KC,6.0,K,3,3,3,2012
0,2,2,Mason Crosby,@Sea,6.0,K,3,0,0,2012
0,2,1,Adam Vinatieri,Jax,5.0,K,3,2,2,2012
0,1,1,Connor Barth,@Dal,4.0,K,3,1,1,2012
0,1,1,Nate Kaeding,Atl,3.0,K,3,0,0,2012
0,0,0,Matt Bryant,@SD,3.0,K,3,3,3,2012
0,0,0,Stephen Hauschka,GB,2.0,K,3,2,2,2012
0,0,0,Phil Dawson,Buf,2.0,K,3,2,2,2012
0,0,0,Justin Medlock,NYG,1.0,K,3,1,1,2012
0,0,0,Kevin Huber,@Was,0.0,K,3,0,0,2012
2,4,4,Greg Zuerlein,Sea,17.0,K,4,1,1,2012
3,3,3,Phil Dawson,@Bal,16.0,K,4,1,1,2012
1,3,3,Matt Prater,Oak,15.0,K,4,4,4,2012
2,3,3,Connor Barth,Was,14.0,K,4,1,1,2012
0,3,3,Nick Novak,@KC,13.0,K,4,4,4,2012
0,4,4,Alex Henery,NYG,13.0,K,4,1,1,2012
0,3,3,Matt Bryant,Car,12.0,K,4,3,3,2012
0,2,2,Robbie Gould,@Dal,10.0,K,4,4,4,2012
0,3,1,Stephen Gostkowski,@Buf,10.0,K,4,7,7,2012
0,4,2,David Akers,@NYJ,10.0,K,4,4,4,2012
0,2,2,Mike Nugent,@Jax,9.0,K,4,3,3,2012
0,3,2,Garrett Hartley,@GB,9.0,K,4,3,3,2012
0,3,2,Blair Walsh,@Det,8.0,K,4,2,2,2012
0,1,1,Shayne Graham,Ten,8.0,K,4,5,5,2012
0,2,2,Stephen Hauschka,@Stl,7.0,K,4,1,1,2012
0,2,2,Jason Hanson,Min,7.0,K,4,1,1,2012
0,3,2,Dan Carpenter,@Ari,7.0,K,4,1,1,2012
0,2,2,Sebastian Janikowski,@Den,6.0,K,4,0,0,2012
0,0,0,Johnny Hekker,Sea,6.0,K,4,0,0,2012
0,1,1,Jay Feely,Mia,6.0,K,4,3,3,2012
0,4,1,Billy Cundiff,@TB,6.0,K,4,3,3,2012
0,2,1,Lawrence Tynes,@Phi,5.0,K,4,2,2,2012
0,2,1,Justin Tucker,Cle,5.0,K,4,2,2,2012
0,1,1,Josh Scobee,Cin,4.0,K,4,1,1,2012
0,0,0,Justin Medlock,@Atl,4.0,K,4,4,4,2012
0,0,0,Rian Lindell,NE,4.0,K,4,4,4,2012
0,0,0,Mason Crosby,NO,4.0,K,4,4,4,2012
0,1,1,Dan Bailey,Chi,4.0,K,4,1,1,2012
0,0,0,Ryan Succop,SD,2.0,K,4,2,2,2012
0,0,0,Rob Bironas,@Hou,2.0,K,4,2,2,2012
0,3,3,Blair Walsh,Ten,12.0,K,5,3,3,2012
1,4,3,Adam Vinatieri,GB,12.0,K,5,1,1,2012
0,2,2,Lawrence Tynes,Cle,11.0,K,5,5,5,2012
0,3,3,Shayne Graham,@NYJ,11.0,K,5,2,2,2012
0,2,2,Robbie Gould,@Jax,11.0,K,5,5,5,2012
0,3,3,Shaun Suisham,Phi,10.0,K,5,1,1,2012
0,3,3,Stephen Hauschka,@Car,10.0,K,5,1,1,2012
0,3,3,Justin Tucker,@KC,9.0,K,5,0,0,2012
0,2,2,Phil Dawson,@NYG,9.0,K,5,3,3,2012
0,1,1,David Akers,Buf,9.0,K,5,6,6,2012
