,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,7,7,0,3,3,Graham Gano,49ers,11.0,K,1,2,2,2017,22,22,0,1,1,Panthers,171,23,5.0,DST,116,0.0,0,49ers,287,0
1,41,41,0,3,3,Graham Gano,Panthers,9.0,K,2,0,0,2017,38,38,0,0,0,Bills,107,3,13.0,DST,69,3.0,0,Panthers,176,0
2,80,80,0,2,2,Graham Gano,Panthers,7.0,K,3,1,1,2017,90,90,0,0,0,Saints,213,34,1.0,DST,149,1.0,0,Panthers,362,0
3,107,107,0,2,2,Graham Gano,Patriots,9.0,K,4,4,3,2017,112,112,0,1,1,Panthers,304,33,6.0,DST,140,2.0,0,Patriots,444,0
4,139,139,0,3,2,Graham Gano,Lions,9.0,K,5,3,3,2017,148,148,0,0,0,Panthers,334,27,4.0,DST,28,3.0,0,Lions,362,0
5,165,165,0,3,3,Graham Gano,Panthers,11.0,K,6,2,2,2017,178,178,0,1,0,Eagles,209,28,5.0,DST,101,3.0,0,Panthers,310,0
6,210,210,0,1,1,Graham Gano,Bears,3.0,K,7,0,0,2017,182,182,0,1,2,Panthers,185,3,33.0,DST,108,5.0,0,Bears,293,2
7,236,236,0,1,1,Graham Gano,Buccaneers,5.0,K,8,2,2,2017,229,229,0,0,1,Panthers,154,17,6.0,DST,100,0.0,0,Buccaneers,254,0
8,251,251,0,2,2,Graham Gano,Panthers,8.0,K,9,2,2,2017,250,250,0,0,1,Falcons,302,17,8.0,DST,53,2.0,0,Panthers,355,0
9,279,279,0,1,1,Graham Gano,Panthers,9.0,K,10,6,6,2017,286,286,0,0,1,Dolphins,213,21,3.0,DST,100,0.0,0,Panthers,313,0
10,336,336,0,3,3,Graham Gano,Jets,9.0,K,12,1,0,2017,346,346,0,0,0,Panthers,154,35,3.0,DST,145,3.0,0,Jets,299,0
11,385,385,0,0,0,Graham Gano,Saints,3.0,K,13,3,3,2017,372,372,0,1,0,Panthers,167,21,5.0,DST,112,2.0,0,Saints,279,0
