,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
46,46,46,0,0,Ted Ginn J,Vikings,0,0,0,0,0,0,5.0,WR,0,0,53,4,0,1,0,5,1,2017
178,178,178,0,0,Ted Ginn J,Saints,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,2,2017
244,244,244,0,0,Ted Ginn J,Panthers,0,0,0,0,0,0,11.0,WR,0,1,44,2,0,1,0,15,3,2017
420,420,420,0,0,Ted Ginn J,Dolphins,0,0,0,0,0,0,2.0,WR,0,0,25,2,0,1,0,9,4,2017
571,571,571,0,0,Ted Ginn J,Saints,0,0,0,0,0,0,12.0,WR,0,1,66,4,0,1,0,3,6,2017
670,670,670,0,0,Ted Ginn J,Packers,0,0,0,0,0,0,14.0,WR,0,0,141,7,0,0,0,0,7,2017
802,802,802,0,0,Ted Ginn J,Saints,0,0,0,0,0,0,6.0,WR,0,0,68,2,0,0,0,0,8,2017
880,880,880,0,0,Ted Ginn J,Saints,0,0,0,0,0,0,11.0,WR,0,1,59,4,0,0,0,0,9,2017
1061,1061,1061,0,0,Ted Ginn J,Bills,0,0,0,0,0,0,0.0,WR,0,0,3,1,0,0,0,0,10,2017
1092,1092,1092,0,0,Ted Ginn J,Saints,0,0,0,0,0,0,8.0,WR,0,0,87,6,0,1,0,-12,11,2017
1206,1206,1206,0,0,Ted Ginn J,Rams,0,0,0,0,0,0,7.0,WR,0,0,71,7,0,0,0,0,12,2017
1361,1361,1361,0,0,Ted Ginn J,Saints,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,1,0,6,13,2017
