,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
26,26,26,0,1,0,Rams,310,46,3.0,DST,63,1.0,0,Colts,373,0,1,2017
45,45,45,0,0,1,Cardinals,306,16,10.0,DST,83,4.0,0,Colts,389,0,2,2017
76,76,76,0,0,3,Browns,235,28,7.0,DST,111,1.0,0,Colts,346,0,3,2017
108,108,108,0,0,2,Steelers,283,46,9.0,DST,194,3.0,1,Colts,477,0,4,2017
151,151,151,0,0,0,49ers,336,23,3.0,DST,66,2.0,0,Colts,402,0,5,2017
166,166,166,0,0,1,Titans,305,36,9.0,DST,168,1.0,0,Colts,473,1,6,2017
200,200,200,0,2,0,Jaguars,330,27,6.0,DST,188,1.0,0,Colts,518,0,7,2017
224,224,224,1,2,0,Bengals,218,24,10.0,DST,58,3.0,0,Colts,276,0,8,2017
252,252,252,0,1,0,Texans,194,14,8.0,DST,94,2.0,0,Colts,288,0,9,2017
274,274,274,1,0,1,Steelers,228,20,9.0,DST,88,1.0,0,Colts,316,0,10,2017
335,335,335,0,0,2,Titans,184,20,8.0,DST,92,0.0,0,Colts,276,0,12,2017
380,380,380,0,0,0,Jaguars,330,30,1.0,DST,96,1.0,0,Colts,426,0,13,2017
