,Unnamed: 0,Unnamed: 0.1,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
14,14,14,0,0,Jack Doyle,Rams,0,0,0,0,0,0,4.0,TE,0,0,41,2,0,0,0,0,1,2017
59,59,59,0,0,Jack Doyle,Colts,0,0,0,0,0,0,7.0,TE,0,0,79,8,0,0,0,0,2,2017
147,147,147,0,1,Jack Doyle,Colts,0,0,0,0,0,0,0.0,TE,0,0,16,2,0,0,0,0,3,2017
188,188,188,0,0,Jack Doyle,Steelers,0,0,0,0,0,0,2.0,TE,0,0,27,5,0,0,0,0,4,2017
258,258,258,0,1,Jack Doyle,Titans,0,0,0,0,0,0,10.0,TE,0,1,50,7,0,0,0,0,6,2017
322,322,322,0,0,Jack Doyle,Colts,0,0,0,0,0,0,4.0,TE,0,0,44,6,0,0,0,0,7,2017
354,354,354,0,0,Jack Doyle,Bengals,0,0,0,0,0,0,18.0,TE,0,1,121,12,0,0,0,0,8,2017
413,413,413,0,0,Jack Doyle,Texans,0,0,0,0,0,0,6.0,TE,0,0,63,8,0,0,0,0,9,2017
482,482,482,0,0,Jack Doyle,Colts,0,0,0,0,0,0,0.0,TE,0,0,9,2,0,0,0,0,10,2017
545,545,545,0,0,Jack Doyle,Colts,0,0,0,0,0,0,9.0,TE,0,0,94,7,0,0,0,0,12,2017
630,630,630,0,0,Jack Doyle,Jaguars,0,0,0,0,0,0,1.0,TE,0,0,16,3,0,0,0,0,13,2017
