,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,0,4,4,David Akers,Sea,15.00,K,1,3,3,2011
1,1,3,3,Sebastian Janikowski,@Den,13.00,K,1,2,2,2011
2,0,3,3,Robbie Gould,Atl,12.00,K,1,3,3,2011
3,0,2,2,Rian Lindell,@KC,11.00,K,1,5,5,2011
4,1,2,2,Nick Folk,Dal,11.00,K,1,3,3,2011
5,0,3,3,Josh Scobee,Ten,10.00,K,1,1,1,2011
6,0,2,2,Neil Rackers,Ind,10.00,K,1,4,4,2011
7,0,2,2,John Kasay,@GB,10.00,K,1,4,4,2011
8,0,2,2,Mike Nugent,@Cle,9.00,K,1,3,3,2011
9,0,2,2,Jason Hanson,@TB,9.00,K,1,3,3,2011
10,0,2,2,Billy Cundiff,Pit,9.00,K,1,3,3,2011
11,0,3,2,Matt Prater,Oak,8.00,K,1,2,2,2011
12,0,2,1,Stephen Gostkowski,@Mia,8.00,K,1,5,5,2011
13,0,2,2,Connor Barth,Det,8.00,K,1,2,2,2011
14,0,1,1,Alex Henery,@Stl,7.00,K,1,4,4,2011
15,0,3,2,Josh Brown,Phi,7.00,K,1,1,1,2011
16,0,1,1,Mike Scifres,Min,6.00,K,1,3,3,2011
17,0,0,0,Mason Crosby,NO,6.00,K,1,6,6,2011
18,0,1,1,Dan Carpenter,NE,6.00,K,1,3,3,2011
19,0,2,2,Matt Bryant,@Chi,6.00,K,1,0,0,2011
20,0,1,1,Dan Bailey,@NYJ,6.00,K,1,3,3,2011
21,0,1,1,Ryan Longwell,@SD,5.00,K,1,2,2,2011
22,0,1,1,Stephen Hauschka,@SF,5.00,K,1,2,2,2011
23,0,1,1,Phil Dawson,Cin,5.00,K,1,2,2,2011
24,0,1,0,Graham Gano,NYG,4.00,K,1,4,4,2011
25,0,1,0,Jay Feely,Car,4.00,K,1,4,4,2011
26,0,0,0,Olindo Mare,@Ari,3.00,K,1,3,3,2011
27,0,1,0,Lawrence Tynes,@Was,2.00,K,1,2,2,2011
28,0,0,0,Sam Koch,Pit,2.00,K,1,0,0,2011
29,0,1,0,Rob Bironas,@Jax,2.00,K,1,2,2,2011
30,0,1,0,Adam Vinatieri,@Hou,1.00,K,1,1,1,2011
31,0,0,0,Shaun Suisham,@Bal,1.00,K,1,1,1,2011
32,0,1,0,Ryan Succop,Buf,1.00,K,1,1,1,2011
33,1,4,4,Adam Vinatieri,Cle,15.00,K,2,1,1,2011
34,1,3,3,John Kasay,Chi,14.00,K,2,3,3,2011
35,1,2,2,Jason Hanson,KC,14.00,K,2,6,6,2011
36,0,5,4,Rob Bironas,Bal,14.00,K,2,2,2,2011
37,0,3,3,Nick Folk,Jax,12.00,K,2,3,3,2011
38,0,3,3,Mason Crosby,@Car,12.00,K,2,3,3,2011
39,0,3,3,Neil Rackers,@Mia,11.00,K,2,2,2,2011
40,0,3,3,Olindo Mare,GB,11.00,K,2,2,2,2011
41,0,3,3,Mike Nugent,@Den,10.00,K,2,1,1,2011
42,0,4,3,Graham Gano,Ari,10.00,K,2,1,1,2011
43,0,3,3,Josh Brown,@NYG,10.00,K,2,1,1,2011
44,0,2,2,Stephen Gostkowski,SD,9.00,K,2,3,3,2011
45,0,2,2,Phil Dawson,@Ind,9.00,K,2,3,3,2011
46,0,3,2,Dan Bailey,@SF,9.00,K,2,3,3,2011
47,0,2,2,Ryan Longwell,TB,8.00,K,2,2,2,2011
48,0,2,1,Rian Lindell,Oak,8.00,K,2,5,5,2011
49,1,1,1,David Akers,Dal,8.00,K,2,3,3,2011
50,0,2,1,Alex Henery,@Atl,7.00,K,2,4,4,2011
51,0,2,2,Robbie Gould,@NO,7.00,K,2,1,1,2011
52,0,2,2,Billy Cundiff,@Ten,7.00,K,2,1,1,2011
53,0,4,2,Dan Carpenter,Hou,7.00,K,2,1,1,2011
54,0,2,1,Shaun Suisham,Sea,6.00,K,2,3,3,2011
55,0,1,1,Matt Prater,Cin,6.00,K,2,3,3,2011
56,0,1,1,Connor Barth,@Min,6.00,K,2,3,3,2011
57,1,1,1,Josh Scobee,@NYJ,5.00,K,2,0,0,2011
58,0,0,0,Sebastian Janikowski,@Buf,5.00,K,2,5,5,2011
