,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
0,2,3,3,Matt Bryant,NO,17.00,K,1,4,4,2014
1,0,4,4,Caleb Sturgis,NE,15.00,K,1,3,3,2014
2,0,6,5,Mike Nugent,@Bal,15.00,K,1,0,0,2014
3,0,4,4,Ryan Succop,@KC,14.00,K,1,2,2,2014
4,1,3,3,Dan Carpenter,@Chi,13.00,K,1,2,2,2014
5,1,2,2,Blair Walsh,@Stl,12.00,K,1,4,4,2014
6,0,3,3,Shaun Suisham,Cle,12.00,K,1,3,3,2014
7,1,2,2,Cody Parkey,Jax,12.00,K,1,4,4,2014
8,1,2,2,Shayne Graham,@Atl,12.00,K,1,4,4,2014
9,0,2,2,Stephen Hauschka,GB,10.00,K,1,4,4,2014
10,0,3,2,Nate Freese,NYG,9.00,K,1,3,3,2014
11,0,2,2,Billy Cundiff,@Pit,9.00,K,1,3,3,2014
12,1,3,2,Greg Zuerlein,Min,8.00,K,1,0,0,2014
13,0,2,2,Robbie Gould,Buf,8.00,K,1,2,2,2014
14,0,2,2,Stephen Gostkowski,@Mia,8.00,K,1,2,2,2014
15,0,3,2,Graham Gano,@TB,8.00,K,1,2,2,2014
16,0,1,1,Brandon McManus,Ind,7.00,K,1,4,4,2014
17,0,2,2,Nick Folk,Oak,7.00,K,1,1,1,2014
18,0,1,1,Adam Vinatieri,@Den,6.00,K,1,3,3,2014
19,0,2,2,Chandler Catanzaro,SD,6.00,K,1,0,0,2014
20,0,3,1,Josh Scobee,@Phi,5.00,K,1,2,2,2014
21,0,1,1,Nick Novak,@Ari,5.00,K,1,2,2,2014
22,0,1,1,Randy Bullock,Was,5.00,K,1,2,2,2014
23,0,1,1,Dan Bailey,SF,5.00,K,1,2,2,2014
24,0,2,1,Justin Tucker,Cin,4.00,K,1,1,1,2014
25,0,2,1,Cairo Santos,Ten,4.00,K,1,1,1,2014
26,0,1,0,Phil Dawson,@Dal,4.00,K,1,4,4,2014
27,0,1,1,Mason Crosby,@Sea,4.00,K,1,1,1,2014
28,0,0,0,Patrick Murray,Car,2.00,K,1,2,2,2014
29,0,0,0,Sebastian Janikowski,@NYJ,2.00,K,1,2,2,2014
30,0,0,0,Josh Brown,@Det,2.00,K,1,2,2,2014
31,0,0,0,Kai Forbath,@Hou,0.00,K,1,1,0,2014
32,0,6,5,Dan Carpenter,Mia,17.00,K,2,2,2,2014
33,1,4,4,Dan Bailey,@Ten,16.00,K,2,2,2,2014
34,0,4,4,Justin Tucker,Pit,14.00,K,2,2,2,2014
35,1,3,3,Nick Novak,Sea,14.00,K,2,3,3,2014
36,0,4,4,Greg Zuerlein,@TB,13.00,K,2,1,1,2014
37,1,3,3,Mason Crosby,NYJ,13.00,K,2,2,2,2014
38,0,4,4,Chandler Catanzaro,@NYG,13.00,K,2,1,1,2014
39,0,4,3,Cody Parkey,@Ind,12.00,K,2,3,3,2014
40,0,3,3,Stephen Gostkowski,@Min,12.00,K,2,3,3,2014
41,1,3,3,Graham Gano,Det,12.00,K,2,1,1,2014
42,0,4,3,Randy Bullock,@Oak,12.00,K,2,3,3,2014
43,0,2,2,Kai Forbath,Jax,11.00,K,2,5,5,2014
44,0,2,2,Adam Vinatieri,Phi,9.00,K,2,3,3,2014
45,1,1,1,Nick Folk,@GB,8.00,K,2,3,3,2014
46,0,2,2,Phil Dawson,Chi,8.00,K,2,2,2,2014
47,0,2,2,Billy Cundiff,NO,8.00,K,2,2,2,2014
48,0,2,2,Shaun Suisham,@Bal,6.00,K,2,0,0,2014
49,0,4,1,Mike Nugent,Atl,6.00,K,2,3,3,2014
50,0,1,1,Brandon McManus,KC,6.00,K,2,3,3,2014
51,0,1,1,Shayne Graham,@Cle,6.00,K,2,3,3,2014
52,0,2,1,Cairo Santos,@Den,5.00,K,2,2,2,2014
53,0,2,1,Patrick Murray,Stl,5.00,K,2,2,2,2014
54,0,1,1,Ryan Succop,Dal,4.00,K,2,1,1,2014
55,0,1,1,Caleb Sturgis,@Buf,4.00,K,2,1,1,2014
56,0,1,1,Josh Scobee,@Was,4.00,K,2,1,1,2014
57,0,0,0,Robbie Gould,@SF,4.00,K,2,4,4,2014
58,0,1,1,Matt Bryant,@Cin,4.00,K,2,1,1,2014
59,0,0,0,Stephen Hauschka,@SD,3.00,K,2,3,3,2014
60,0,0,0,Sebastian Janikowski,Hou,2.00,K,2,2,2,2014
61,0,0,0,Josh Brown,Ari,2.00,K,2,2,2,2014
62,0,1,0,Blair Walsh,NE,1.00,K,2,1,1,2014
63,0,2,0,Nate Freese,@Car,1.00,K,2,1,1,2014
64,1,3,3,Cody Parkey,Was,15.00,K,3,4,4,2014
65,0,3,3,Adam Vinatieri,@Jax,14.00,K,3,5,5,2014
66,0,3,3,Shaun Suisham,@Car,13.00,K,3,4,4,2014
67,0,4,4,Nick Folk,Chi,13.00,K,3,1,1,2014
