,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
0,2016,1,Vikings,0,2,1,Titans,252,16,24.0,DST,64,2.0,0,316,2,1
38,2016,2,Vikings,0,2,1,Packers,180,14,15.0,DST,83,5.0,0,263,0,0
65,2016,3,Vikings,0,0,3,Panthers,201,10,29.0,DST,105,8.0,1,306,1,1
106,2016,4,Vikings,0,1,1,Giants,261,10,11.0,DST,78,0.0,0,339,0,0
127,2016,5,Vikings,0,0,1,Texans,155,13,19.0,DST,59,4.0,0,214,1,0
200,2016,7,Vikings,0,2,2,Eagles,138,21,9.0,DST,101,0.0,0,239,0,1
226,2016,8,Vikings,0,0,0,Bears,245,20,5.0,DST,158,1.0,0,403,0,1
259,2016,9,Vikings,0,0,1,Lions,214,22,4.0,DST,97,1.0,0,311,0,0
288,2016,10,Vikings,0,1,0,Redskins,260,26,4.0,DST,128,1.0,0,388,0,1
296,2016,11,Vikings,0,0,2,Cardinals,155,24,21.0,DST,135,4.0,0,290,2,0
338,2016,12,Vikings,0,0,0,Lions,214,16,6.0,DST,94,2.0,0,308,0,1
365,2016,13,Vikings,0,2,0,Cowboys,124,17,11.0,DST,140,3.0,0,264,0,0
398,2016,14,Vikings,1,0,0,Jaguars,230,16,10.0,DST,85,4.0,0,315,0,1
447,2016,15,Vikings,0,0,0,Colts,250,34,0.0,DST,161,0.0,0,411,0,0
468,2016,16,Vikings,0,0,0,Packers,308,38,4.0,DST,40,4.0,0,348,0,1
481,2016,17,Vikings,0,3,2,Bears,140,10,25.0,DST,183,2.0,0,323,1,0
