,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
29,29,29,0,0,0,Ka'imi Fairbairn,Texans,1.0,K,1,1,1,2017
49,49,49,0,2,2,Ka'imi Fairbairn,Bengals,7.0,K,2,1,1,2017
67,67,67,0,4,4,Ka'imi Fairbairn,Patriots,15.0,K,3,3,3,2017
98,98,98,1,3,3,Ka'imi Fairbairn,Texans,17.0,K,4,7,6,2017
156,156,156,0,0,0,Ka'imi Fairbairn,Texans,2.0,K,5,2,2,2017
180,180,180,0,1,1,Ka'imi Fairbairn,Texans,5.0,K,6,3,2,2017
228,228,228,0,1,1,Ka'imi Fairbairn,Steelers,8.0,K,8,5,5,2017
265,265,265,0,1,0,Ka'imi Fairbairn,Texans,2.0,K,9,2,2,2017
296,296,296,0,1,0,Ka'imi Fairbairn,Rams,1.0,K,10,1,1,2017
313,313,313,0,1,1,Ka'imi Fairbairn,Texans,7.0,K,11,4,4,2017
334,334,334,0,3,3,Ka'imi Fairbairn,Ravens,10.0,K,12,1,1,2017
374,374,374,0,4,2,Ka'imi Fairbairn,Titans,7.0,K,13,1,1,2017
