,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,10,10.0,0.0,3.0,3.0,Blair Walsh,Packers,9.0,K,1,0.0,0.0,2017.0,9,9.0,0.0,1.0,0.0,Steelers,135.0,9.0,12.0,DST,90.0,3.0,0.0,Packers,225.0,0.0
1,51,10.0,0.0,3.0,3.0,Blair Walsh,Steelers,9.0,K,2,0.0,0.0,2017.0,42,7.5,0.5,0.0,1.0,Vikings,233.0,17.5,15.5,DST,70.5,5.5,0.0,Steelers,303.5,0.5
2,51,10.0,0.0,3.0,3.0,Blair Walsh,Steelers,9.0,K,2,0.0,0.0,2017.0,43,19.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,49ers,204.0,14.666666666666664,14.0,DST,77.33333333333333,4.333333333333333,0.0,Steelers,281.3333333333333,0.3333333333333333
3,93,30.5,0.0,2.5,2.5,Blair Walsh,Titans,7.5,K,3,0.5,0.0,2017.0,88,34.0,0.0,0.5,1.0,Steelers,230.5,21.0,7.5,DST,104.0,2.0,0.0,Titans,334.5,0.0
4,108,51.33333333333334,0.0,1.6666666666666667,1.6666666666666667,Blair Walsh,Steelers,6.0,K,4,1.3333333333333333,1.0,2017.0,94,44.83333333333334,0.16666666666666666,0.3333333333333333,0.6666666666666666,Colts,168.33333333333334,18.166666666666668,10.0,DST,134.66666666666666,2.833333333333333,0.0,Steelers,303.0,0.16666666666666666
5,108,51.33333333333334,0.0,1.6666666666666667,1.6666666666666667,Blair Walsh,Steelers,6.0,K,4,1.3333333333333333,1.0,2017.0,97,51.85714285714285,0.14285714285714285,0.42857142857142855,0.7142857142857143,Ravens,164.14285714285714,18.142857142857142,11.857142857142858,DST,129.42857142857142,2.8571428571428568,0.0,Steelers,293.57142857142856,0.42857142857142855
6,135,65.5,0.0,1.75,1.5,Blair Walsh,Rams,6.5,K,5,2.25,2.0,2017.0,135,61.0,0.0,0.75,1.0,Steelers,216.25,26.25,12.0,DST,151.5,3.0,0.25,Rams,367.75,0.5
7,203,79.4,0.0,2.0,1.8,Blair Walsh,Giants,7.2,K,7,2.0,1.8,2017.0,203,96.16666666666669,0.16666666666666666,0.5,0.5,Steelers,248.33333333333331,22.0,8.166666666666666,DST,123.5,2.0,0.16666666666666666,Giants,371.83333333333326,0.16666666666666666
8,223,100.0,0.0,1.8333333333333333,1.6666666666666667,Blair Walsh,Steelers,7.0,K,8,2.1666666666666665,2.0,2017.0,218,98.46153846153848,0.07692307692307693,0.6153846153846154,0.9230769230769232,Texans,167.23076923076925,16.153846153846153,12.076923076923075,DST,112.6153846153846,2.769230769230769,0.07692307692307693,Steelers,279.84615384615387,0.2307692307692308
9,223,100.0,0.0,1.8333333333333333,1.6666666666666667,Blair Walsh,Steelers,7.0,K,8,2.1666666666666665,2.0,2017.0,227,107.0,0.07142857142857142,0.5714285714285714,1.0714285714285714,Lions,181.5,17.714285714285715,12.428571428571427,DST,114.71428571428572,2.9285714285714284,0.07142857142857142,Steelers,296.2142857142857,0.2857142857142857
10,267,117.57142857142857,0.0,1.8571428571428568,1.7142857142857142,Blair Walsh,Steelers,7.571428571428571,K,9,2.571428571428572,2.4285714285714284,2017.0,244,115.0,0.06666666666666668,0.6,1.0,Redskins,196.8,17.533333333333335,12.133333333333333,DST,111.8,2.8666666666666667,0.06666666666666668,Steelers,308.6,0.26666666666666666
11,280,136.25,0.0,2.0,1.5,Blair Walsh,Cardinals,6.625,K,10,2.25,2.125,2017.0,279,126.125,0.0,0.125,1.0,Steelers,249.25,25.125,7.5,DST,100.5,2.25,0.0,Cardinals,349.75,0.125
12,303,152.22222222222226,0.0,2.0,1.5555555555555556,Blair Walsh,Steelers,6.777777777777778,K,11,2.2222222222222223,2.1111111111111107,2017.0,297,139.66666666666666,0.1111111111111111,0.6111111111111112,0.8888888888888888,Titans,199.83333333333331,17.38888888888889,12.055555555555555,DST,101.83333333333331,3.0,0.16666666666666666,Steelers,301.6666666666667,0.2222222222222222
13,303,152.22222222222226,0.0,2.0,1.5555555555555556,Blair Walsh,Steelers,6.777777777777778,K,11,2.2222222222222223,2.1111111111111107,2017.0,312,147.94736842105263,0.15789473684210525,0.5789473684210527,1.0526315789473684,Falcons,203.21052631578945,17.368421052631582,12.421052631578947,DST,99.2105263157895,3.1052631578947367,0.15789473684210525,Steelers,302.42105263157896,0.21052631578947367
14,344,167.3,0.0,2.2,1.7,Blair Walsh,49ers,7.2,K,12,2.2,2.1,2017.0,347,155.6,0.0,0.6,0.6,Steelers,246.3,26.0,6.3,DST,133.5,2.0,0.0,49ers,379.8,0.0
15,376,183.3636363636364,0.0,2.1818181818181817,1.6363636363636365,Blair Walsh,Steelers,7.090909090909091,K,13,2.272727272727273,2.1818181818181817,2017.0,362,172.5909090909091,0.13636363636363635,0.5454545454545454,0.9545454545454546,Eagles,203.3636363636364,18.40909090909091,11.590909090909092,DST,97.1818181818182,3.0454545454545454,0.13636363636363635,Steelers,300.54545454545456,0.18181818181818185
16,376,183.3636363636364,0.0,2.1818181818181817,1.6363636363636365,Blair Walsh,Steelers,7.090909090909091,K,13,2.272727272727273,2.1818181818181817,2017.0,368,180.82608695652172,0.13043478260869565,0.5652173913043478,0.9565217391304348,Bengals,208.7391304347826,18.043478260869566,11.695652173913045,DST,97.21739130434784,3.0434782608695654,0.13043478260869565,Steelers,305.95652173913044,0.17391304347826084
