,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
30,30,30,1,4,4,Cody Parkey,Chargers,15.0,K,2,1,1,2017
95,95,95,0,0,0,Cody Parkey,Jets,0.0,K,3,1,0,2017
152,152,152,0,1,1,Cody Parkey,Dolphins,4.0,K,5,2,1,2017
170,170,170,0,2,2,Cody Parkey,Falcons,8.0,K,6,2,2,2017
202,202,202,0,1,1,Cody Parkey,Dolphins,7.0,K,7,4,4,2017
241,241,241,0,1,0,Cody Parkey,Ravens,0.0,K,8,0,0,2017
261,261,261,0,1,1,Cody Parkey,Dolphins,4.0,K,9,2,1,2017
293,293,293,0,0,0,Cody Parkey,Panthers,3.0,K,10,3,3,2017
309,309,309,0,2,2,Cody Parkey,Dolphins,8.0,K,11,2,2,2017
347,347,347,0,1,1,Cody Parkey,Patriots,5.0,K,12,2,2,2017
372,372,372,0,1,1,Cody Parkey,Dolphins,7.0,K,13,4,4,2017
