,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
12,12,12,0,2,2,Justin Tucker,Bengals,8.0,K,1,2,2,2017
52,52,52,0,2,1,Justin Tucker,Ravens,6.0,K,2,3,3,2017
94,94,94,0,0,0,Justin Tucker,Jaguars,1.0,K,3,1,1,2017
123,123,123,0,2,1,Justin Tucker,Ravens,3.0,K,4,0,0,2017
133,133,133,0,3,3,Justin Tucker,Raiders,12.0,K,5,3,3,2017
163,163,163,1,3,3,Justin Tucker,Ravens,12.0,K,6,1,1,2017
193,193,193,1,3,3,Justin Tucker,Vikings,12.0,K,7,1,1,2017
222,222,222,1,3,2,Justin Tucker,Ravens,12.0,K,8,4,4,2017
250,250,250,0,2,2,Justin Tucker,Titans,8.0,K,9,2,2,2017
304,304,304,0,3,3,Justin Tucker,Packers,11.0,K,11,2,2,2017
327,327,327,1,3,3,Justin Tucker,Ravens,13.0,K,12,2,2,2017
359,359,359,1,3,3,Justin Tucker,Ravens,16.0,K,13,5,5,2017
