,Unnamed: 0,Unnamed: 0.1,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
24,24,24,0,0,0,Patriots,247,27,4.0,DST,124,3.0,0,Chiefs,371,0,1,2017
35,35,35,0,1,1,Eagles,299,20,14.0,DST,107,6.0,0,Chiefs,406,0,2,2017
67,67,67,0,0,3,Chargers,226,10,15.0,DST,104,2.0,0,Chiefs,330,0,3,2017
103,103,103,0,1,0,Redskins,220,20,12.0,DST,111,0.0,0,Chiefs,331,1,4,2017
134,134,134,0,1,0,Texans,248,34,11.0,DST,144,3.0,0,Chiefs,392,1,5,2017
170,170,170,0,0,1,Steelers,245,19,7.0,DST,194,1.0,0,Chiefs,439,0,6,2017
208,208,208,1,0,0,Raiders,417,31,2.0,DST,88,0.0,0,Chiefs,505,0,7,2017
213,213,213,0,2,3,Broncos,187,19,23.0,DST,177,3.0,0,Chiefs,364,1,8,2017
262,262,262,0,0,0,Cowboys,244,28,1.0,DST,131,1.0,0,Chiefs,375,0,9,2017
304,304,304,0,0,1,Giants,205,12,9.0,DST,112,0.0,0,Chiefs,317,0,11,2017
342,342,342,0,0,0,Bills,164,16,6.0,DST,104,2.0,0,Chiefs,268,0,12,2017
383,383,383,0,0,0,Jets,331,38,0.0,DST,157,0.0,0,Chiefs,488,0,13,2017
