,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
32,46,0,3,2,Dan Bailey,49ers,9.0,K,2,3,3,2011,1,49ers,0,0,2,Cowboys,427,27,6.0,DST,45,1.0,0,472,0,0
33,64,0,6,6,Dan Bailey,Redskins,18.0,K,3,0,0,2011,0,Redskins,0,1,1,Cowboys,250,18,9.0,DST,125,1.0,0,375,0,1
34,104,0,3,3,Dan Bailey,Lions,12.0,K,4,3,3,2011,0,Lions,0,0,3,Cowboys,321,30,19.0,DST,113,1.0,0,434,2,1
35,162,0,3,3,Dan Bailey,Patriots,10.0,K,6,1,1,2011,1,Patriots,0,1,1,Cowboys,300,16,10.0,DST,77,2.0,0,377,0,0
36,190,1,2,2,Dan Bailey,Rams,12.0,K,7,4,4,2011,0,Rams,0,1,0,Cowboys,151,34,4.0,DST,294,2.0,0,445,0,1
37,234,0,0,0,Dan Bailey,Eagles,1.0,K,8,1,1,2011,1,Eagles,0,0,1,Cowboys,182,7,13.0,DST,85,4.0,0,267,0,0
38,241,0,3,3,Dan Bailey,Seahawks,11.0,K,9,2,2,2011,0,Seahawks,0,1,0,Cowboys,279,23,3.0,DST,163,0.0,0,442,0,1
39,272,0,3,3,Dan Bailey,Bills,14.0,K,10,5,5,2011,0,Bills,0,0,0,Cowboys,270,44,0.0,DST,163,0.0,0,433,0,1
40,305,0,2,2,Dan Bailey,Redskins,9.0,K,11,3,3,2011,1,Redskins,0,0,0,Cowboys,264,27,5.0,DST,89,4.0,0,353,0,0
41,349,0,2,2,Dan Bailey,Dolphins,8.0,K,12,2,2,2011,0,Dolphins,0,0,2,Cowboys,218,20,9.0,DST,85,1.0,0,303,0,1
42,373,1,4,2,Dan Bailey,Cardinals,9.0,K,13,1,1,2011,1,Cardinals,0,0,0,Cowboys,261,13,12.0,DST,75,5.0,0,336,0,0
43,404,0,3,2,Dan Bailey,Giants,10.0,K,14,4,4,2011,0,Giants,1,1,0,Cowboys,305,34,9.0,DST,139,3.0,1,444,0,1
44,447,0,1,1,Dan Bailey,Buccaneers,7.0,K,15,4,4,2011,1,Buccaneers,0,1,0,Cowboys,239,31,10.0,DST,160,2.0,0,399,1,0
45,491,0,0,0,Dan Bailey,Eagles,1.0,K,16,1,1,2011,0,Eagles,0,0,0,Cowboys,157,7,10.0,DST,81,3.0,0,238,0,1
46,524,0,1,0,Dan Bailey,Giants,2.0,K,17,2,2,2011,1,Giants,0,1,1,Cowboys,251,14,14.0,DST,49,6.0,0,300,0,0
47,12,0,2,2,Dan Bailey,Giants,9.0,K,1,3,3,2015,0,Giants,0,1,2,Cowboys,356,27,13.0,DST,80,0.0,0,436,1,1
48,44,0,2,2,Dan Bailey,Eagles,8.0,K,2,2,2,2015,1,Eagles,0,2,0,Cowboys,250,20,11.0,DST,109,3.0,0,359,0,0
49,89,0,0,0,Dan Bailey,Falcons,4.0,K,3,4,4,2015,0,Falcons,0,0,1,Cowboys,220,28,4.0,DST,127,2.0,0,347,0,1
50,113,0,2,2,Dan Bailey,Saints,8.0,K,4,2,2,2015,1,Saints,0,0,0,Cowboys,220,20,7.0,DST,115,3.0,0,335,0,0
51,140,1,2,2,Dan Bailey,Patriots,8.0,K,5,0,0,2015,0,Patriots,0,1,1,Cowboys,163,6,17.0,DST,102,3.0,0,265,0,1
52,198,0,2,2,Dan Bailey,Giants,8.0,K,7,2,2,2015,1,Giants,0,1,3,Cowboys,227,20,25.0,DST,233,1.0,0,460,2,0
53,216,1,4,4,Dan Bailey,Seahawks,14.0,K,8,0,0,2015,0,Seahawks,0,0,0,Cowboys,91,12,8.0,DST,129,1.0,0,220,0,1
54,253,0,2,2,Dan Bailey,Eagles,9.0,K,9,3,3,2015,0,Eagles,0,0,1,Cowboys,277,27,13.0,DST,134,4.0,0,411,1,1
55,282,1,3,2,Dan Bailey,Buccaneers,8.0,K,10,0,0,2015,1,Buccaneers,0,0,1,Cowboys,174,6,15.0,DST,42,3.0,0,216,0,0
56,315,0,1,1,Dan Bailey,Dolphins,6.0,K,11,3,3,2015,1,Dolphins,0,0,2,Cowboys,220,24,7.0,DST,166,2.0,0,386,0,0
57,349,0,2,2,Dan Bailey,Panthers,6.0,K,12,0,0,2015,0,Panthers,0,0,3,Cowboys,179,14,24.0,DST,31,2.0,0,210,2,1
58,361,1,4,4,Dan Bailey,Redskins,15.0,K,13,1,1,2015,1,Redskins,0,3,0,Cowboys,221,19,11.0,DST,97,1.0,0,318,0,0
59,420,0,0,0,Dan Bailey,Packers,1.0,K,14,1,1,2015,1,Packers,0,0,1,Cowboys,99,7,11.0,DST,171,2.0,0,270,0,0
60,426,1,3,3,Dan Bailey,Jets,12.0,K,15,1,1,2015,0,Jets,0,0,4,Cowboys,176,16,14.0,DST,133,2.0,0,309,0,1
61,473,0,3,2,Dan Bailey,Bills,6.0,K,16,0,0,2015,1,Bills,0,1,1,Cowboys,186,6,14.0,DST,121,0.0,0,307,0,0
62,515,0,0,0,Dan Bailey,Redskins,3.0,K,17,3,3,2015,0,Redskins,0,1,2,Cowboys,412,23,11.0,DST,100,4.0,0,512,0,1
63,23,0,1,1,Dan Bailey,Giants,6.0,K,1,3,3,2012,1,Giants,0,0,1,Cowboys,290,24,5.0,DST,143,2.0,0,433,0,0
64,65,0,0,0,Dan Bailey,Seahawks,1.0,K,2,1,1,2012,1,Seahawks,1,1,1,Cowboys,247,7,20.0,DST,49,1.0,0,296,1,0
65,76,0,3,3,Dan Bailey,Buccaneers,10.0,K,3,1,1,2012,0,Buccaneers,0,2,1,Cowboys,259,16,14.0,DST,38,4.0,0,297,0,1
66,126,0,1,1,Dan Bailey,Bears,4.0,K,4,1,1,2012,0,Bears,0,0,5,Cowboys,389,18,27.0,DST,41,1.0,0,430,2,1
67,168,0,4,3,Dan Bailey,Ravens,11.0,K,6,2,2,2012,1,Ravens,0,0,1,Cowboys,254,29,9.0,DST,227,1.0,0,481,1,0
68,191,0,4,4,Dan Bailey,Panthers,13.0,K,7,1,1,2012,1,Panthers,0,1,0,Cowboys,227,19,6.0,DST,85,0.0,0,312,0,0
69,225,1,1,1,Dan Bailey,Giants,8.0,K,8,3,3,2012,0,Giants,0,2,4,Cowboys,415,24,23.0,DST,19,4.0,0,434,1,1
70,260,0,3,2,Dan Bailey,Falcons,7.0,K,9,1,1,2012,1,Falcons,0,0,0,Cowboys,312,13,8.0,DST,65,1.0,0,377,0,0
71,283,0,1,1,Dan Bailey,Eagles,8.0,K,10,5,5,2012,1,Eagles,0,0,0,Cowboys,193,38,3.0,DST,101,3.0,0,294,0,0
72,311,0,3,3,Dan Bailey,Browns,11.0,K,11,2,2,2012,0,Browns,0,1,0,Cowboys,257,23,10.0,DST,63,7.0,0,320,0,1
73,331,1,3,3,Dan Bailey,Redskins,13.0,K,12,2,2,2012,0,Redskins,0,1,2,Cowboys,423,31,8.0,DST,35,2.0,0,458,0,1
74,380,0,1,1,Dan Bailey,Eagles,8.0,K,13,5,5,2012,0,Eagles,0,0,0,Cowboys,294,38,8.0,DST,123,2.0,0,417,1,1
75,411,0,2,2,Dan Bailey,Bengals,8.0,K,14,2,2,2012,1,Bengals,0,0,1,Cowboys,239,20,9.0,DST,49,3.0,0,288,0,0
76,433,1,2,2,Dan Bailey,Steelers,11.0,K,15,3,3,2012,0,Steelers,0,1,0,Cowboys,328,27,4.0,DST,87,1.0,0,415,0,1
77,479,0,1,1,Dan Bailey,Saints,7.0,K,16,4,4,2012,0,Saints,0,1,0,Cowboys,406,31,4.0,DST,40,2.0,0,446,0,1
78,516,0,1,1,Dan Bailey,Redskins,4.0,K,17,1,1,2012,1,Redskins,0,0,3,Cowboys,196,18,12.0,DST,100,2.0,0,296,0,0
79,0,2,4,4,Dan Bailey,Giants,17.0,K,1,1,1,2016,0,Giants,0,0,0,Cowboys,227,19,4.0,DST,101,0.0,0,328,0,1
80,46,0,2,2,Dan Bailey,Redskins,9.0,K,2,3,3,2016,1,Redskins,0,1,0,Cowboys,278,27,7.0,DST,102,4.0,0,380,0,0
81,79,0,2,1,Dan Bailey,Bears,7.0,K,3,4,4,2016,0,Bears,0,1,0,Cowboys,248,31,2.0,DST,199,0.0,0,447,0,1
82,113,0,2,1,Dan Bailey,49ers,6.0,K,4,3,3,2016,1,49ers,0,0,0,Cowboys,234,24,3.0,DST,194,2.0,0,428,0,0
83,149,0,0,0,Dan Bailey,Bengals,4.0,K,5,4,4,2016,0,Bengals,0,1,0,Cowboys,222,28,3.0,DST,180,1.0,0,402,0,1
84,159,0,3,3,Dan Bailey,Packers,12.0,K,6,3,3,2016,1,Packers,0,1,1,Cowboys,233,30,6.0,DST,191,2.0,0,424,0,0
85,224,0,3,3,Dan Bailey,Eagles,11.0,K,8,2,2,2016,0,Eagles,0,0,1,Cowboys,273,29,4.0,DST,187,2.0,0,460,0,1
86,265,0,0,0,Dan Bailey,Browns,5.0,K,9,5,5,2016,1,Browns,0,0,0,Cowboys,255,35,0.0,DST,168,0.0,0,423,0,0
87,278,1,3,3,Dan Bailey,Steelers,13.0,K,10,2,2,2016,1,Steelers,0,1,0,Cowboys,295,35,4.0,DST,127,2.0,0,422,0,0
88,308,0,2,2,Dan Bailey,Ravens,9.0,K,11,3,3,2016,0,Ravens,0,0,0,Cowboys,299,27,2.0,DST,118,1.0,0,417,0,1
89,348,0,1,1,Dan Bailey,Redskins,7.0,K,12,4,4,2016,0,Redskins,0,0,0,Cowboys,190,31,1.0,DST,163,1.0,0,353,0,1
90,425,0,1,0,Dan Bailey,Giants,1.0,K,14,1,1,2016,1,Giants,0,1,2,Cowboys,152,7,16.0,DST,108,3.0,0,260,0,0
91,431,0,6,4,Dan Bailey,Buccaneers,14.0,K,15,2,2,2016,0,Buccaneers,0,1,0,Cowboys,264,26,6.0,DST,185,3.0,0,449,0,1
92,482,0,0,0,Dan Bailey,Lions,6.0,K,16,6,6,2016,0,Lions,0,0,0,Cowboys,211,42,1.0,DST,164,1.0,0,375,0,1
93,512,0,2,2,Dan Bailey,Eagles,7.0,K,17,1,1,2016,1,Eagles,1,0,2,Cowboys,126,13,16.0,DST,69,3.0,0,195,0,0
