,Unnamed: 0.1_x,Unnamed: 0.1.1_x,50+,FGA,FGM,Name,Opponent_x,Points_x,Position_x,Week,XPA,XPM,Year,Unnamed: 0.1_y,Unnamed: 0.1.1_y,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns
0,12,12,0,2,2,Justin Tucker,Bengals,8.0,K,1,2,2,2017,15,15,0,0,1,Ravens,111,20,7.0,DST,157,1.0,0,Bengals,268,0
1,52,52,0,2,1,Justin Tucker,Ravens,6.0,K,2,3,3,2017,31,31,0,1,4,Browns,293,10,20.0,DST,93,3.0,0,Ravens,386,0
2,94,94,0,0,0,Justin Tucker,Jaguars,1.0,K,3,1,1,2017,66,66,0,1,2,Ravens,52,7,15.0,DST,134,2.0,0,Jaguars,186,0
3,123,123,0,2,1,Justin Tucker,Ravens,3.0,K,4,0,0,2017,117,117,0,0,1,Steelers,208,26,4.0,DST,173,1.0,0,Ravens,381,0
4,133,133,0,3,3,Justin Tucker,Raiders,12.0,K,5,3,3,2017,153,153,0,0,0,Ravens,222,30,0.0,DST,143,0.0,0,Raiders,365,0
5,163,163,1,3,3,Justin Tucker,Ravens,12.0,K,6,1,1,2017,158,158,0,2,0,Bears,111,27,21.0,DST,231,4.0,0,Ravens,342,2
6,193,193,1,3,3,Justin Tucker,Vikings,12.0,K,7,1,1,2017,193,193,0,0,0,Ravens,144,16,9.0,DST,64,5.0,0,Vikings,208,0
7,222,222,1,3,2,Justin Tucker,Ravens,12.0,K,8,4,4,2017,212,212,0,0,2,Dolphins,151,0,35.0,DST,45,3.0,0,Ravens,196,3
8,250,250,0,2,2,Justin Tucker,Titans,8.0,K,9,2,2,2017,246,246,0,0,2,Ravens,268,20,10.0,DST,73,2.0,0,Titans,341,0
9,304,304,0,3,3,Justin Tucker,Packers,11.0,K,11,2,2,2017,309,309,0,0,1,Ravens,161,23,6.0,DST,58,3.0,0,Packers,219,0
10,327,327,1,3,3,Justin Tucker,Ravens,13.0,K,12,2,2,2017,327,327,0,1,2,Texans,237,16,12.0,DST,66,2.0,0,Ravens,303,0
11,359,359,1,3,3,Justin Tucker,Ravens,16.0,K,13,5,5,2017,355,355,0,1,2,Lions,294,20,19.0,DST,78,3.0,0,Ravens,372,1
