,Unnamed: 0,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year,Away Games
23,23,0,1,1,Billy Cundiff,Dolphins,4.0,K,1,1,1,2013,0
47,47,1,2,2,Billy Cundiff,Ravens,8.0,K,2,0,0,2013,1
86,86,0,1,1,Billy Cundiff,Min,6.0,K,3,3,3,2013,1
118,118,1,3,1,Billy Cundiff,Bengals,7.0,K,4,2,2,2013,0
136,136,0,3,3,Billy Cundiff,Bills,13.0,K,5,4,4,2013,0
182,182,0,1,1,Billy Cundiff,Lions,5.0,K,6,2,2,2013,0
207,207,0,2,2,Billy Cundiff,Packers,7.0,K,7,1,1,2013,1
237,237,0,1,1,Billy Cundiff,Chiefs,5.0,K,8,2,2,2013,1
266,266,0,1,1,Billy Cundiff,Ravens,6.0,K,9,3,3,2013,0
320,320,0,2,2,Billy Cundiff,Bengals,8.0,K,11,2,2,2013,1
356,356,0,2,1,Billy Cundiff,Steelers,3.0,K,12,0,0,2013,0
384,384,0,1,0,Billy Cundiff,Jaguars,4.0,K,13,4,4,2013,0
403,403,0,3,2,Billy Cundiff,Patriots,8.0,K,14,2,2,2013,1
445,445,0,1,1,Billy Cundiff,Bears,7.0,K,15,4,4,2013,0
470,470,0,2,2,Billy Cundiff,Jets,7.0,K,16,1,1,2013,1
517,517,0,0,0,Billy Cundiff,Steelers,1.0,K,17,1,1,2013,1
