,Unnamed: 0,Unnamed: 0.1,50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
22,22,22,0,2,1,Adam Vinatieri,Rams,3.0,K,1,1,0,2017
48,48,48,0,2,2,Adam Vinatieri,Colts,7.0,K,2,1,1,2017
79,79,79,0,1,1,Adam Vinatieri,Colts,7.0,K,3,4,4,2017
121,121,121,0,1,1,Adam Vinatieri,Steelers,4.0,K,4,1,1,2017
130,130,130,2,4,4,Adam Vinatieri,Colts,18.0,K,5,2,2,2017
162,162,162,1,3,3,Adam Vinatieri,Titans,12.0,K,6,2,1,2017
224,224,224,0,3,3,Adam Vinatieri,Bengals,11.0,K,8,2,2,2017
247,247,247,1,2,2,Adam Vinatieri,Texans,10.0,K,9,2,2,2017
289,289,289,0,1,1,Adam Vinatieri,Colts,5.0,K,10,2,2,2017
331,331,331,0,3,3,Adam Vinatieri,Colts,10.0,K,12,1,1,2017
380,380,380,0,1,1,Adam Vinatieri,Jaguars,4.0,K,13,1,1,2017
